,dimension_1,dimension_2
item_378,-5.48506,11.6563
item_379,4.14182,-13.2204
item_380,-2.05571,11.8874
item_381,-1.76095,12.4188
item_382,4.74334,-12.8528
item_383,4.09274,3.13042
item_384,-6.09379,11.5165
item_385,-1.89329,11.8931
item_386,4.94624,-13.1853
item_387,2.54096,-13.1842
item_388,-5.80913,11.7606
item_389,16.9401,0.0498748
item_390,-5.86127,12.0352
item_391,4.55471,-12.946
item_392,5.24244,-13.1391
item_393,2.46227,-12.8529
item_394,-4.61292,-11.2554
item_395,4.15477,3.33661
item_396,16.7093,0.0667409
item_397,-3.84783,-8.67237
item_398,4.80061,3.38402
item_399,4.43123,3.44943
item_400,3.47962,-13.8142
item_401,4.59266,-12.8177
item_402,17.39,-0.34236
item_403,-1.8155,11.965
item_404,-5.61361,-16.9292
item_405,2.26143,-12.6169
item_406,-4.4599,-11.0628
item_407,4.11316,3.39046
item_408,-5.60203,-16.9454
item_409,4.28715,3.34629
item_410,-5.66284,11.5909
item_411,4.40322,-13.1431
item_412,-5.69178,12.1
item_413,-4.99472,12.1761
item_414,-1.99996,11.9409
item_415,-1.93509,12.2145
item_416,-4.48405,-11.3469
item_417,4.70632,3.1923
item_418,-5.65785,-17.5548
item_419,-5.73956,-17.5897
item_420,-5.46838,11.3443
item_421,-3.83595,-8.56009
item_422,16.9433,-0.159189
item_423,-6.11215,11.5558
item_424,-6.05539,11.9319
item_425,-1.61036,12.1631
item_426,-4.40059,-11.1034
item_427,-4.96597,11.6173
item_428,3.06937,-13.6931
item_429,-1.87398,11.7971
item_430,2.82254,-14.0168
item_431,17.5059,-0.0963427
item_432,17.1632,-0.170622
item_433,3.7455,-13.0537
item_434,-4.24885,-11.0459
item_435,-1.72593,12.6357
item_436,2.92719,-13.815
item_437,-4.95838,12.4064
item_438,-5.61791,-17.1777
item_439,-1.64005,12.3254
item_440,-4.37239,-11.2599
item_441,2.8094,-13.898
item_442,-5.45213,11.8079
item_443,-1.81503,12.4311
item_444,4.82561,3.06559
item_445,4.0243,3.34052
item_446,-4.57856,-11.2225
item_447,-2.23044,12.2012
item_448,4.69317,2.7325
item_449,5.06231,-12.9779
item_450,17.2671,-0.384244
item_451,4.46601,3.14588
item_452,2.91219,-14.1149
item_453,-4.19315,-9.91727
item_454,5.15117,-12.9678
item_455,4.10045,3.10087
item_456,4.40685,3.14492
item_457,-4.53142,-11.1915
item_458,4.05548,-12.8641
item_459,2.71274,-13.715
item_460,-3.90685,-9.55773
item_461,-1.85686,12.3053
item_462,-2.08488,12.2933
item_463,3.1538,-13.7007
item_464,-5.53884,-17.3165
item_465,2.82864,-14.054
item_466,17.3877,-0.252746
item_467,4.83059,3.27964
item_468,-6.08212,11.5153
item_469,-1.99759,12.0239
item_470,-4.42582,-11.284
item_471,17.1918,-0.465476
item_472,-5.98781,12.2263
item_473,4.83597,-13.0964
item_474,4.98218,-13.1676
item_475,-3.77619,-8.14725
item_476,-3.54414,11.7884
item_477,5.76533,-12.7998
item_478,4.72401,-12.8566
item_479,-5.94461,11.8261
item_480,-4.20553,-10.3308
item_481,-3.79484,-8.26289
item_482,-2.02934,11.9544
item_483,-2.58994,11.9767
item_484,-5.74491,11.7537
item_485,5.02724,3.18619
item_486,-4.50206,-11.5124
item_487,2.41816,-12.9295
item_488,-6.0117,11.8311
item_489,16.7669,-0.0755321
item_490,3.04756,-13.8111
item_491,-3.79258,-9.09416
item_492,-2.1548,12.3196
item_493,4.6959,3.1572
item_494,5.19265,-12.8837
item_495,2.75463,-14.021
item_496,-4.12635,-10.1943
item_497,-3.65714,-8.63916
item_498,-6.25147,11.9854
item_499,16.7861,-0.171597
item_500,-4.38714,-11.1467
item_501,-5.89478,11.8129
item_502,-5.98301,11.9847
item_503,-3.55056,-8.38254
item_504,-4.54463,-11.3075
item_505,-3.37348,-8.45259
item_506,-5.92487,11.7412
item_507,17.0381,0.0597669
item_508,-4.56639,11.5666
item_509,-3.75715,11.7279
item_510,-4.35469,-11.2299
item_511,4.91757,3.34067
item_512,-5.95276,11.5162
item_513,-5.59582,-16.9261
item_514,-5.62177,-17.4245
item_515,-3.92462,-8.78351
item_516,4.16215,-12.9195
item_517,-3.72482,-8.63213
item_518,-4.09964,-10.1252
item_519,-6.13422,11.8884
item_520,3.24845,-13.6021
item_521,-2.05987,12.3459
item_522,-5.73524,11.5042
item_523,-5.28914,11.7923
item_524,-5.77127,-17.5357
item_525,2.94026,-13.8648
item_526,-5.7236,11.6291
item_527,2.84517,-13.8662
item_528,3.35362,-13.6796
item_529,5.83043,-12.7651
item_530,-6.1159,12.0806
item_531,4.78898,-12.8158
item_532,-2.37496,11.9173
item_533,-3.80607,-8.58797
item_534,-2.31974,12.2869
item_535,16.9342,-0.10113
item_536,-2.40734,11.996
item_537,17.4616,-0.10009
item_538,-5.70238,-17.287
item_539,4.99185,3.16556
item_540,-4.15406,-10.6006
item_541,2.71365,-12.6377
item_542,-2.36267,11.7055
item_543,3.20994,-13.9518
item_544,-5.59513,-17.0919
item_545,-3.95605,-9.34721
item_546,-4.20262,-11.2787
item_547,-4.14995,-9.98792
item_548,16.9257,-0.335372
item_549,4.90183,-12.9868
item_550,-4.32625,-11.1516
item_551,-1.96784,11.6978
item_552,4.41249,-12.9247
item_553,4.56611,2.8538
item_554,-3.42187,11.7794
item_555,-3.50907,-8.43429
item_556,4.98193,-12.9771
item_557,4.39022,3.11381
item_558,-4.51675,-11.1826
item_559,5.8133,-12.8083
item_560,-4.4851,-11.0846
item_561,-4.90242,11.4538
item_562,-4.65939,-11.3587
item_563,-4.7198,11.5505
item_564,4.6782,-12.8729
item_565,-1.90325,12.3718
item_566,17.0698,-0.445269
item_567,-2.29313,12.1926
item_568,-5.79836,11.3954
item_569,4.67404,-12.756
item_570,-2.28472,12.2934
item_571,4.7802,-13.0108
item_572,-4.47777,-11.0845
item_573,4.28469,3.05517
item_574,-4.72691,11.5916
item_575,4.66957,3.40621
item_576,-4.4916,-11.4148
item_577,-2.32572,11.9757
item_578,3.52605,-13.8684
item_579,17.0488,-0.114242
item_580,-5.55076,-17.3351
item_581,-1.41642,11.942
item_582,-4.59165,-11.1426
item_583,2.88805,-13.9455
item_584,-6.01264,11.783
item_585,4.89958,-13.0085
item_586,-2.64901,11.7181
item_587,-5.87776,12.0042
item_588,-3.22014,11.8787
item_589,4.34624,-12.9706
item_590,-6.14897,11.9432
item_591,-2.66739,12.2279
item_592,4.55174,-12.8924
item_593,17.3268,-0.308746
item_594,-3.7194,11.751
item_595,-3.85916,-8.73957
item_596,-6.09467,11.9892
item_597,3.0284,-14.164
item_598,17.0445,-0.537544
item_599,17.025,-0.33888
item_600,-5.81791,11.7188
item_601,-3.1224,11.8882
item_602,-5.78535,11.5786
item_603,-3.80539,-8.62594
item_604,2.98126,-13.6433
item_605,4.75562,3.07923
item_606,-2.09159,12.1495
item_607,-1.59144,12.3468
item_608,16.9717,-0.439638
item_609,-2.34458,11.688
item_610,-4.64707,11.5157
item_611,-1.99137,12.3966
item_612,-5.9283,11.9301
item_613,2.83879,-13.8968
item_614,-6.10823,11.9256
item_615,-5.62102,-17.3737
item_616,-4.52662,-11.3933
item_617,-1.84133,11.8068
item_618,-6.01147,11.8692
item_619,4.13665,3.13837
item_620,5.3219,-12.955
item_621,-3.37931,-8.60576
item_622,-6.069,12.1137
item_623,-3.45997,-8.52514
item_624,17.0715,-0.0551668
item_625,-5.8043,12.0526
item_626,-3.67804,-8.42762
item_627,-5.20692,12.1524
item_628,-5.61621,-17.1884
item_629,2.60384,-13.0481
item_630,-4.26913,-11.148
item_631,17.0943,0.10173
item_632,-6.01392,12.1268
item_633,-5.38146,11.7634
item_634,3.27876,-13.7078
item_635,-5.75433,11.6371
item_636,5.00215,-12.9317
item_637,-5.81199,11.4389
item_638,-3.48794,11.7964
item_639,4.27903,2.97513
item_640,2.79543,-13.9831
item_641,-4.96944,11.5837
item_642,-5.83466,11.9499
item_643,4.25662,-13.2644
item_644,-4.14585,-10.3976
item_645,4.61384,3.38973
item_646,-4.39071,-10.8338
item_647,4.89929,-12.6517
item_648,-2.51694,12.206
item_649,4.54455,2.98752
item_650,17.4126,0.087851
item_651,5.69358,-12.7954
item_652,-5.71382,11.8946
item_653,-3.7242,-8.4633
item_654,-5.7021,-17.0927
item_655,-5.4065,12.2189
item_656,-2.4161,12.3856
item_657,3.24308,-13.6629
item_658,4.87228,-12.9288
item_659,17.1674,-0.289886
item_660,-4.55631,-11.3088
item_661,17.0452,-0.0727822
item_662,-6.15306,12.1127
item_663,2.98414,-13.795
item_664,-1.96159,12.1058
item_665,-5.53849,11.8149
item_666,16.8237,-0.014796
item_667,2.87493,-13.9947
item_668,3.27719,-13.7078
item_669,2.57988,-13.5827
item_670,3.09881,-13.7095
item_671,-3.41949,-8.87103
item_672,-4.5577,11.4676
item_673,16.9623,-0.326395
item_674,5.06231,-13.1297
item_675,4.34554,-12.9676
item_676,-4.04529,-10.3309
item_677,4.01825,2.9888
item_678,-1.90658,12.3101
item_679,4.98401,3.14655
item_680,-3.97781,-8.65969
item_681,-1.85422,11.9996
item_682,16.9289,-0.198721
item_683,-1.90541,12.3069
item_684,-5.63467,11.8753
item_685,4.15231,-13.0447
item_686,-4.2648,-11.0543
item_687,-3.47657,11.8225
item_688,-2.90867,12.1916
item_689,4.54298,-12.9431
item_690,3.5394,-13.5966
item_691,-3.54998,-8.33024
item_692,4.79649,3.37002
item_693,-1.52593,12.2785
item_694,5.45487,-12.8742
item_695,-3.69577,-8.71699
item_696,-4.32317,-11.1658
item_697,4.47004,-12.787
item_698,-2.22841,12.1002
item_699,4.7907,3.19519
item_700,-3.94373,-8.11865
item_701,-1.87626,12.5138
item_702,16.9687,-0.120569
item_703,2.71511,-13.5406
item_704,-5.65136,11.7365
item_705,3.02885,-13.8017
item_706,-4.37972,-11.512
item_707,-2.0988,12.4377
item_708,-5.86119,12.1308
item_709,-3.78217,-8.62183
item_710,3.36371,-13.6249
item_711,4.30063,3.14614
item_712,-4.57438,11.558
item_713,3.17875,-13.6125
item_714,5.08944,-13.1266
item_715,4.93403,-13.0908
item_716,-4.34697,-11.0514
item_717,3.95928,-13.1754
item_718,-2.06129,12.0961
item_719,-2.23834,12.1819
item_720,-3.74622,-8.46709
item_721,4.11301,3.11374
item_722,16.9989,0.164875
item_723,-3.46672,-8.46547
item_724,-5.80464,11.7898
item_725,-4.67633,11.6078
item_726,-4.6896,-11.1508
item_727,-3.34549,-8.47395
item_728,-3.29311,12.1402
item_729,-5.82393,12.1005
item_730,-2.16006,12.2852
item_731,-5.82792,11.4082
item_732,-4.37893,-11.0564
item_733,4.36714,-12.8669
item_734,5.26823,-12.8489
item_735,-3.75203,-8.9556
item_736,17.0489,0.248256
item_737,-3.62504,-8.57713
item_738,17.126,-0.195463
item_739,4.3053,3.17362
item_740,16.9288,-0.0072898
item_741,-3.83394,-8.94758
item_742,-2.497,11.8761
item_743,-2.15119,12.4037
item_744,4.94608,-13.0119
item_745,-2.47144,12.1843
item_746,3.40447,-13.5584
item_747,-3.00987,12.1486
item_748,-3.62628,11.8207
item_749,-3.74548,-9.04894
item_750,-6.12944,12.1238
item_751,-5.32164,11.6785
item_752,-3.94734,-8.46574
item_753,2.87423,-12.8332
item_754,-5.73143,11.8575
item_755,-3.00921,12.1961
item_756,-5.41211,11.4004
item_757,3.4491,-12.7939
item_758,-3.9557,-8.35445
item_759,-3.58878,-9.24099
item_760,17.053,-0.00185098
item_761,2.62829,-13.3241
item_762,-4.36472,-11.2689
item_763,16.8212,-0.412683
item_764,-2.40545,12.117
item_765,-1.89266,12.3023
item_766,4.37207,3.1012
item_767,-4.16135,-9.9103
item_768,-4.07001,-10.0615
item_769,-3.90378,-8.37946
item_770,-4.35642,-11.3354
item_771,17.4166,-0.397319
item_772,-3.8505,-8.19457
item_773,-2.56593,11.6861
item_774,-5.84303,11.6053
item_775,4.90186,-13.1022
item_776,-5.61477,-16.9572
item_777,3.27191,-13.7634
item_778,-4.42169,-11.3508
item_779,-1.88639,11.9156
item_780,-4.32464,11.7003
item_781,4.11694,3.37891
item_782,5.09557,-12.8922
item_783,-2.25083,12.0925
item_784,-4.09101,11.6935
item_785,-4.25391,-10.5087
item_786,17.2285,-0.181099
item_787,-2.96259,12.0632
item_788,5.01481,-13.1906
item_789,-1.85937,12.5722
item_790,-4.14318,-10.0583
item_791,3.20466,-13.6564
item_792,-4.61098,-11.4821
item_793,2.50771,-13.0234
item_794,-5.17222,12.2303
item_795,17.0113,-0.360036
item_796,-5.71847,11.7538
item_797,-4.1793,-10.0689
item_798,-2.36217,11.7691
item_799,-4.6939,11.5509
item_800,-3.72877,-8.68006
item_801,-2.71577,12.17
item_802,5.86228,-12.829
item_803,17.3803,-0.0105656
item_804,-5.72566,11.7625
item_805,-1.46251,12.2094
item_806,-3.76826,-8.55641
item_807,-2.55173,11.9396
item_808,5.75918,-12.7967
item_809,-3.66667,-8.8778
item_810,4.92838,3.23216
item_811,17.1613,-0.11137
item_812,-4.33984,-11.0798
item_813,-3.016,12.1801
item_814,5.74207,-12.8009
item_815,5.19101,-13.0607
item_816,-3.72549,-8.62305
item_817,17.1362,0.0753032
item_818,-5.56467,-17.0832
item_819,3.29271,-13.9223
item_820,-6.15488,11.7513
item_821,-2.90645,12.0781
item_822,-2.98879,12.0748
item_823,-6.18969,12.1315
item_824,-4.57078,-11.2503
item_825,-5.64628,11.4821
item_826,3.1161,-13.6426
item_827,-1.90609,11.8674
item_828,-6.05936,12.0215
item_829,-1.81668,11.7774
item_830,17.315,0.121644
item_831,3.89385,-13.1482
item_832,-4.50509,-11.191
item_833,-4.10945,-10.006
item_834,4.55347,3.00221
item_835,-2.12739,12.3332
item_836,4.7462,3.55398
item_837,-3.46815,-8.28665
item_838,-3.74084,-8.63709
item_839,4.32761,3.30523
item_840,-5.248,11.5468
item_841,2.80126,-12.5864
item_842,17.0506,0.108104
item_843,-1.65657,12.2004
item_844,-4.34898,-10.9798
item_845,4.12781,-12.8307
item_846,-3.84113,-8.32479
item_847,17.1548,0.0917865
item_848,-2.05778,11.7959
item_849,-1.80567,11.8929
item_850,3.49257,-13.7038
item_851,17.1401,0.0159678
item_852,-1.92086,12.0643
item_853,16.9881,-0.518548
item_854,-5.69294,11.5829
item_855,-2.6026,11.792
item_856,-1.71758,12.2706
item_857,-3.85572,-9.21952
item_858,-4.58127,-11.0761
item_859,-4.47409,-11.1753
item_860,3.11463,-13.7951
item_861,3.03946,-14.1312
item_862,-4.74917,-11.3969
item_863,4.15044,-13.2459
item_864,5.7938,-12.7872
item_865,-6.07845,11.6748
item_866,-4.28835,-11.3704
item_867,4.26866,-12.7698
item_868,-4.49731,-10.9169
item_869,-5.62164,11.5204
item_870,3.41446,-13.6619
item_871,4.01917,2.97064
item_872,-4.62185,11.5161
item_873,2.87863,-14.0731
item_874,4.337,-12.9154
item_875,-3.6163,-9.70207
item_876,2.88698,-12.883
item_877,-3.58441,-8.59115
item_878,-1.56159,11.8949
item_879,-4.06513,-9.83209
item_880,-5.65671,-17.5064
item_881,-5.76004,12.0818
item_882,16.9315,-0.131607
item_883,-1.81984,12.1835
item_884,-5.13653,11.6416
item_885,4.93477,3.18047
item_886,-4.17886,-11.3585
item_887,-3.78502,-8.37197
item_888,-2.73566,12.1769
item_889,-5.77514,12.0371
item_890,3.14388,-13.5772
item_891,-3.86976,-9.63041
item_892,-4.5713,11.5842
item_893,17.332,-0.308444
item_894,4.071,-12.9426
item_895,-3.24323,12.1952
item_896,2.66301,-12.6076
item_897,-2.43187,12.1897
item_898,-1.88526,11.9317
item_899,-5.83704,11.4587
item_900,-5.63229,-17.5448
item_901,-5.49906,11.9275
item_902,17.1419,-0.459559
item_903,3.02358,-13.9749
item_904,3.29295,-13.733
item_905,-4.89027,11.5118
item_906,-4.65623,11.6509
item_907,-1.49529,12.3581
item_908,4.93659,-13.1112
item_909,-3.02815,11.987
item_910,-4.17191,-10.3165
item_911,17.3285,-0.28043
item_912,-5.91436,11.6393
item_913,-3.63386,-8.29982
item_914,-4.40171,-11.2459
item_915,-1.62761,12.4585
item_916,-5.59867,-17.3403
item_917,-3.51938,-8.55239
item_918,5.06972,-13.041
item_919,-6.1733,11.6518
item_920,-4.41537,11.5866
item_921,4.45548,3.23665
item_922,-5.5819,-17.4223
item_923,17.0626,-0.0906505
item_924,-4.38549,-11.2522
item_925,-3.64989,-8.55564
item_926,-4.46324,-11.2659
item_927,-1.8657,12.3166
