,dimension_1,dimension_2,dimension_3
item_105,-6.51149,-2.96368,2.28088
item_106,-4.24458,-5.03522,1.58568
item_107,-5.00641,1.18395,-1.18168
item_108,-0.142183,2.06474,4.73823
item_109,4.55208,-1.92816,5.36334
item_110,3.03036,3.61725,1.36334
item_111,1.2233,-1.64264,-4.42525
item_112,-0.720823,1.07617,4.54917
item_113,-6.5347,-3.37027,1.55564
item_114,-3.22713,-5.60752,1.23715
item_115,4.69794,-1.2504,5.20364
item_116,0.51707,1.20815,-5.2587
item_117,1.50314,-0.41275,-4.44067
item_118,2.28494,3.70184,1.84508
item_119,3.30752,-1.10959,5.71381
item_120,4.15076,-0.411824,5.12447
item_121,3.54733,0.788089,-4.49979
item_122,4.48936,-1.66827,5.59446
item_123,2.09742,3.57008,2.09603
item_124,2.84497,2.07448,-4.87513
item_125,-5.54651,-4.18566,2.20877
item_126,-1.12113,2.31901,2.90383
item_127,-4.26934,1.11304,-1.20056
item_128,0.0373288,1.13098,-5.42417
item_129,-6.57629,-3.60409,1.60587
item_130,-4.42727,1.97769,-0.691154
item_131,-1.48447,1.49265,4.90225
item_132,0.412698,1.47261,-5.19313
item_133,-0.899679,1.00572,4.48102
item_134,1.4843,0.746119,-4.03361
item_135,-6.46404,-2.422,2.58925
item_136,-0.0825817,2.18944,4.73706
item_137,-1.48767,0.624358,4.66443
item_138,-3.95016,-4.34857,1.29972
item_139,-0.247709,0.0593493,4.29026
item_140,-0.00302704,0.970774,-4.93561
item_141,2.0485,2.72506,1.61434
item_142,2.2743,2.46791,-4.75932
item_143,0.181156,0.19181,-4.83524
item_144,2.65285,3.57469,1.50665
item_145,-1.2906,1.29582,3.02741
item_146,0.864324,-1.52667,1.69451
item_147,-0.697555,2.94352,2.31129
item_148,-4.33809,1.47122,-1.43729
item_149,0.5061,0.411135,-4.29305
item_150,-1.0509,0.840503,4.76037
item_151,-5.83315,-3.43396,1.47887
item_152,-4.96919,1.86447,-1.66505
item_153,-5.54327,-4.08875,2.12349
item_154,1.50987,1.68883,-4.28121
item_155,2.43435,-0.0664852,-4.56251
item_156,-4.87219,2.11612,-1.32302
item_157,4.68387,-0.876353,5.34975
item_158,-0.0182887,2.1316,4.66124
item_159,2.02747,-2.01366,-4.958
item_160,2.45492,3.60559,1.98312
item_161,-1.42511,1.94529,2.71104
item_162,1.85128,3.72043,2.13306
item_163,1.29404,-0.764623,-4.39048
item_164,0.00499838,1.37033,-4.84535
item_165,0.720953,-2.24152,-5.44728
item_166,-4.72645,1.46243,-1.14675
item_167,0.100254,0.545801,-4.76063
item_168,1.47278,1.51182,-4.95413
item_169,-4.49448,-3.83945,1.5047
item_170,2.77703,-0.747543,5.3011
item_171,1.35263,-1.35451,-4.40875
item_172,2.45055,3.64705,2.07599
item_173,2.49229,0.0209011,-4.58416
item_174,1.18273,-1.51976,1.79382
item_175,-5.87611,-3.60664,1.42905
item_176,1.10357,-1.4794,2.08166
item_177,1.6258,-1.27716,-4.40934
item_178,-4.21454,-4.50401,1.25021
item_179,4.02398,-0.237124,5.09465
item_180,-0.142279,1.71095,4.36274
item_181,1.9563,2.79787,1.72009
item_182,0.069212,1.90699,4.11157
item_183,-0.401168,0.0986274,4.3288
item_184,1.49081,0.735397,-4.52549
item_185,-6.74469,-2.87561,1.86324
item_186,3.04051,1.31323,-4.93028
item_187,-4.94491,0.715112,-2.03263
item_188,2.26084,3.73925,1.8349
item_189,-1.02678,1.59708,2.5822
item_190,2.55164,3.6799,1.5757
item_191,2.28516,3.66912,1.77898
item_192,0.836669,-1.47857,1.72134
item_193,3.26372,-0.964241,5.72138
item_194,2.84478,1.399,-5.03281
item_195,0.294485,-1.60604,-5.11523
item_196,1.55444,1.89688,-4.47901
item_197,2.31473,-1.41473,-4.54072
item_198,-0.989492,3.50537,2.48784
item_199,-1.60897,0.739727,4.64729
item_200,3.26232,3.55838,2.19526
item_201,-6.96096,-2.87941,2.22199
item_202,-3.02562,-5.45072,0.667693
item_203,-0.935511,3.05831,2.45211
item_204,-0.00510519,1.89673,4.20762
item_205,-4.32672,1.22919,-1.7162
item_206,-3.16952,-5.72538,1.17933
item_207,4.65906,-1.71861,5.57757
item_208,0.165061,1.97126,4.11841
item_209,-5.26204,-3.82646,1.43034
item_210,4.60115,-1.82719,5.5424
item_211,3.19318,-1.42292,5.69271
item_212,-5.20557,-3.83565,1.52655
item_213,-7.06301,-3.043,2.16347
item_214,3.19375,3.39473,2.44641
item_215,3.34604,-0.359925,-4.27271
item_216,-0.246396,1.71656,4.98242
item_217,2.92578,-1.4775,5.50154
item_218,0.172565,0.0996809,-4.80632
item_219,-5.03318,0.729921,-1.93483
item_220,0.250825,-0.427717,2.89911
item_221,1.46553,3.01143,2.16881
item_222,-5.24599,1.20855,-2.13749
item_223,0.790837,-2.49554,-5.40432
item_224,2.90824,1.35471,-4.81001
item_225,2.63659,1.71824,-4.29763
item_226,-0.227342,2.34363,3.91751
item_227,1.51705,-1.48219,-4.55002
item_228,1.0472,0.57707,-3.97707
item_229,-1.78773,0.724337,4.41831
item_230,4.4634,-2.00458,5.45133
item_231,3.21211,2.04749,-4.53623
item_232,-5.36306,-4.20788,2.07966
item_233,2.30108,-0.674467,5.15492
item_234,3.18778,3.41505,3.07264
item_235,3.28899,-1.1631,5.77177
item_236,-0.0871713,1.94,4.92786
item_237,0.313989,-0.725873,2.13563
item_238,0.0371931,0.168562,-5.0139
item_239,-5.11534,1.43877,-1.87514
item_240,0.856196,-1.21424,2.48975
item_241,-4.68626,-3.80143,1.58586
item_242,-5.38603,0.895248,-2.48625
item_243,-0.468188,1.0621,4.93179
item_244,3.10317,0.964329,-4.52908
item_245,-0.964923,0.139171,3.73425
item_246,-0.862263,3.08785,2.70799
item_247,4.64284,-1.8042,5.61456
item_248,1.08886,0.68291,-3.96106
item_249,-6.73007,-2.74487,2.52912
item_250,4.57823,-1.99812,5.48271
item_251,-1.33738,0.293336,4.2891
item_252,-5.15179,-3.90526,1.33317
item_253,2.14031,3.45726,1.57832
item_254,3.4875,3.34098,2.91276
item_255,-0.791037,0.55139,5.0113
item_256,-0.120555,2.10427,4.76209
item_257,-3.84039,2.15211,-0.397509
item_258,0.11185,0.510892,-5.07621
item_259,3.08441,1.32848,-3.80535
item_260,1.01796,-1.19944,2.67327
item_261,4.84643,-1.38894,4.73803
item_262,-4.97125,1.87423,-1.69616
item_263,0.0886712,0.445916,4.25084
item_264,3.2231,1.1722,-4.58362
item_265,0.982799,-2.34212,-4.89785
item_266,-0.701169,2.83655,2.38363
item_267,-1.05462,0.347312,3.6005
item_268,1.22593,0.338028,-4.13693
item_269,2.47783,-0.0371128,-3.18228
item_270,-4.7577,-4.76492,1.75567
item_271,-5.38377,-4.32171,2.12231
item_272,0.147487,0.427736,-4.74998
item_273,0.335977,-0.120231,-5.4412
item_274,0.872699,-1.24261,2.48104
item_275,-4.12002,2.2677,-0.643626
item_276,0.130586,0.381123,-5.0502
item_277,-5.75079,-3.7289,1.38129
item_278,3.3959,3.2671,3.0142
item_279,-4.76158,2.00907,-1.06228
item_280,-0.171712,2.14241,4.55239
item_281,1.35876,0.490214,-4.29804
item_282,-0.114016,2.0781,4.77006
item_283,1.52846,-2.03355,-4.82425
item_284,4.26927,-1.7783,5.47401
item_285,-0.741757,-0.143457,4.54442
item_286,1.01051,0.637855,-3.90224
item_287,-4.5233,1.52466,-1.24971
item_288,1.11252,-1.2776,2.55569
item_289,3.1477,-0.0904747,-3.66392
item_290,0.126553,0.51931,-4.91532
item_291,-4.63181,-4.88931,1.59807
item_292,-0.223039,1.68999,4.97281
item_293,0.736018,0.31252,-4.09577
item_294,3.71731,-1.15593,5.58092
item_295,0.732754,-2.4988,-5.52183
item_296,-1.03054,3.35403,2.5491
item_297,3.40631,-1.48606,5.53738
item_298,0.0571922,0.630141,-5.18609
item_299,-1.36479,0.512192,4.66908
item_300,-5.18079,0.977973,-2.19612
item_301,-1.57225,2.14236,2.5262
item_302,3.00362,1.43276,-4.73264
item_303,-4.5436,2.05288,-1.19417
item_304,3.87455,-0.684947,5.38355
item_305,2.13517,-1.27446,-4.43892
item_306,2.99227,1.94521,-4.69454
item_307,-0.491912,-0.17169,4.61311
item_308,2.99684,1.55644,-4.11488
item_309,3.16779,3.28655,3.03583
item_310,-4.14876,-5.31193,1.50697
item_311,-6.29103,-3.43108,1.52942
item_312,-5.09556,1.65578,-1.80762
item_313,-1.34904,1.71203,3.00054
item_314,1.11764,1.09596,-4.22589
item_315,0.398129,-1.24793,-5.38699
item_316,-3.87746,-5.12578,0.829407
item_317,-0.916231,-0.123116,4.33151
item_318,3.47022,3.29278,3.01345
item_319,2.33015,3.65526,1.75663
item_320,1.40213,1.83451,-4.57516
item_321,3.14185,-1.10906,5.51254
item_322,-0.0321497,2.00161,4.87968
item_323,0.443256,-1.5487,-4.89796
item_324,-5.28774,0.938708,-2.42227
item_325,2.70233,0.0159608,-3.3675
item_326,3.10952,3.35982,3.06468
item_327,3.10239,-1.03113,5.62096
item_328,0.132024,1.81279,4.94455
item_329,-0.0858384,-0.321898,3.08051
item_330,0.0263384,0.586772,-5.13798
item_331,-0.559177,0.25924,4.78714
item_332,-4.79756,1.87232,-1.66318
item_333,-0.687394,-0.013143,3.20797
item_334,-0.849192,2.02972,3.17874
item_335,0.605793,-1.84782,-4.42754
item_336,1.0418,-1.19325,2.68427
item_337,0.584164,0.25337,-4.50606
item_338,3.06507,1.6026,-4.74183
item_339,0.116863,0.211923,-4.99464
item_340,3.36161,3.42206,2.94606
item_341,1.91515,-0.114696,-4.38576
item_342,-0.109615,2.07927,4.76758
item_343,0.432389,0.518088,-4.48554
item_344,-0.918416,3.55303,2.41843
item_345,1.15407,-1.3786,-4.53158
item_346,-3.80711,-5.15788,0.782469
item_347,-0.403168,1.97626,4.44605
item_348,3.47104,3.31084,3.04012
item_349,-1.37139,2.09328,2.65442
item_350,3.31895,1.29597,-4.69937
item_351,0.906271,-1.52656,-4.23187
item_352,-3.66985,-5.19993,0.725255
item_353,-1.10079,0.789407,3.68611
item_354,3.12209,1.75111,-4.24518
item_355,1.14881,-0.831599,-4.29608
item_356,-3.3005,-5.54859,1.17678
item_357,-1.40875,1.55155,5.04874
item_358,-3.93461,-4.669,1.13708
item_359,-6.66842,-2.78724,1.92115
item_360,4.19657,-0.871824,5.65156
item_361,2.1098,3.4812,1.54817
item_362,-0.149183,2.1815,4.50928
item_363,1.16267,0.60114,-4.31209
item_364,0.0310186,0.955724,-4.78656
item_365,0.608791,0.283293,-4.3164
item_366,2.77362,3.32519,2.97975
item_367,-5.81049,-3.98334,2.25772
item_368,-5.06738,1.42459,-2.04646
item_369,-0.992441,3.26177,2.71673
item_370,0.437888,0.286075,-4.93049
item_371,-6.11787,-3.57498,1.43021
item_372,3.40537,0.598762,-4.61403
item_373,0.729309,-0.134493,-4.60134
item_374,0.053359,0.548731,-4.97391
item_375,0.948647,-1.58153,-4.24751
item_376,3.46412,3.50294,2.92889
item_377,-1.55601,1.40474,3.06777
item_378,3.12082,1.41708,-4.755
item_379,2.40352,3.24639,2.21182
item_380,0.0190424,1.01646,-4.92971
item_381,0.277483,-1.66856,-5.36222
item_382,2.96047,3.47085,3.02187
item_383,-7.25654,-3.23505,2.06623
item_384,1.33793,1.11248,-4.80082
item_385,2.06084,-0.605428,-3.55406
item_386,3.38808,3.59385,2.82336
item_387,-1.30903,0.649444,3.66918
item_388,3.08417,1.65438,-4.68257
item_389,-4.09842,1.70911,-1.11009
item_390,1.42342,1.62144,-4.49025
item_391,1.82171,3.4216,1.92365
item_392,3.54157,3.45758,2.83718
item_393,-1.38105,0.794239,4.7818
item_394,-0.75214,3.16046,2.26131
item_395,-6.80032,-2.91345,2.52331
item_396,-4.98658,1.92564,-1.66423
item_397,-0.312039,0.1352,3.42232
item_398,-3.27441,-5.77804,1.1727
item_399,-7.51873,-3.53763,2.12652
item_400,3.9642,-0.570397,5.24488
item_401,2.50131,3.10472,1.94887
item_402,-4.51178,1.82065,-1.3016
item_403,0.525209,0.00332179,-5.30576
item_404,0.940037,-1.08379,2.75606
item_405,-0.922098,0.806266,4.28204
item_406,-0.193164,2.00813,4.73938
item_407,-6.7872,-2.91149,2.51994
item_408,0.78526,-0.996667,2.69701
item_409,-6.24314,-3.48961,1.54766
item_410,1.36497,1.76587,-4.56224
item_411,2.32351,3.48054,1.76235
item_412,2.86798,2.04908,-4.78092
item_413,0.957326,0.695186,-4.00097
item_414,0.0244383,0.612936,-5.12087
item_415,0.482477,-1.27213,-4.14614
item_416,-0.630164,3.28515,2.00416
item_417,-4.33392,-4.46267,1.20064
item_418,1.12847,-1.47887,2.18211
item_419,1.18303,-1.51935,1.79508
item_420,1.32244,1.33332,-4.58154
item_421,0.0219987,0.135342,3.43517
item_422,-4.83468,1.85918,-1.63303
item_423,3.02443,0.456449,-3.41131
item_424,1.4532,1.77265,-4.4544
item_425,1.44852,-1.91908,-4.63511
item_426,0.0237161,1.99088,4.265
item_427,3.047,-0.279036,-4.85644
item_428,4.08131,-0.697718,5.11229
item_429,1.15344,-1.65619,-4.58936
item_430,4.3011,-1.80095,5.5215
item_431,-4.49941,1.20696,-1.10695
item_432,-5.01984,1.7356,-1.73226
item_433,2.64052,2.87379,2.74712
item_434,-0.0106206,1.87238,5.01076
item_435,1.08262,-2.04776,-4.7234
item_436,4.51523,-1.60569,5.37094
item_437,1.95771,-0.0110791,-4.37173
item_438,1.06967,-1.33171,2.48319
item_439,0.713107,-1.3289,-4.65323
item_440,-0.860192,3.66593,2.38403
item_441,4.2751,-1.9217,5.45835
item_442,1.44823,0.980841,-4.15245
item_443,0.180949,0.215576,-4.83714
item_444,-3.40097,-5.64776,1.05303
item_445,-6.61782,-2.64094,2.50264
item_446,-0.860321,3.11866,2.49973
item_447,2.61537,-0.721726,-4.72144
item_448,-3.23827,-5.75464,1.18675
item_449,3.40933,3.39723,2.96311
item_450,-4.93844,1.9331,-1.68692
item_451,-5.86611,-3.70575,1.54133
item_452,3.01049,-0.888126,5.39491
item_453,-0.235563,0.555641,4.87036
item_454,4.57356,-0.466909,5.34451
item_455,-6.73486,-3.33299,1.63323
item_456,-3.74672,-5.35188,1.05452
item_457,-1.07678,2.83918,2.44124
item_458,3.23756,3.25474,3.009
item_459,3.97403,-1.79502,5.62937
item_460,-1.33152,1.71607,4.08085
item_461,0.820032,-1.68473,-4.24729
item_462,0.0328759,0.620341,-5.47155
item_463,4.5874,-1.2991,5.04856
item_464,0.975072,-1.40243,1.95404
item_465,4.56544,-1.88474,5.2291
item_466,-4.91974,2.18483,-1.35116
item_467,-4.41321,-4.92761,0.865719
item_468,3.40469,1.91044,-4.79924
item_469,4.8219,-1.71087,4.9732
item_470,-0.679394,2.99579,2.03479
item_471,-3.91001,1.40488,-1.21946
item_472,1.48617,2.19769,-4.77997
item_473,1.83961,3.28635,1.74299
item_474,4.46466,-0.43967,5.35173
item_475,-0.26975,-0.356867,2.98621
item_476,-2.87495,-5.93531,0.834166
item_477,3.28466,3.55322,2.02544
item_478,3.25986,2.99114,2.99916
item_479,2.67011,0.229543,-3.36606
item_480,-0.618171,1.79715,4.73562
item_481,-0.376148,-0.190215,2.75898
item_482,0.0635541,1.09673,-5.53897
item_483,0.701531,0.33966,-4.20996
item_484,3.32011,2.03728,-4.80632
item_485,-7.4277,-3.54718,2.09387
item_486,-0.612702,3.22615,2.06568
item_487,-1.48814,0.440135,4.57887
item_488,1.65208,2.52742,-4.88289
item_489,-5.65818,0.376286,-2.74556
item_490,4.59248,-0.557322,4.79367
item_491,-0.93102,0.569088,5.00569
item_492,-2.27078,-5.99244,0.636317
item_493,-3.47508,-5.20777,0.917095
item_494,3.29924,3.18061,3.08878
item_495,4.01088,-1.87181,5.45176
item_496,-0.465683,1.14541,4.71336
item_497,-0.117601,0.168925,3.93931
item_498,2.68372,2.49915,-4.58656
item_499,-4.48332,1.18688,-1.50718
item_500,-0.837086,3.02257,2.39101
item_501,3.01183,0.596195,-3.49995
item_502,1.5963,2.50942,-4.88696
item_503,-0.421717,0.0474057,3.01547
item_504,-0.926346,3.60386,2.4058
item_505,-0.863389,0.0287784,3.8396
item_506,2.98125,1.37594,-4.86635
item_507,-5.59793,0.588973,-2.77008
item_508,-2.98876,-5.80587,0.890844
item_509,-2.69812,-5.91266,0.761479
item_510,-0.00430719,2.36123,4.20413
item_511,-4.25505,-5.245,1.56938
item_512,2.68465,2.53401,-4.3858
item_513,-0.104608,-0.735391,2.39702
item_514,0.907751,-1.317,2.14412
item_515,-0.60774,0.614639,4.14725
item_516,3.23655,3.08152,3.21924
item_517,-1.04022,0.0356691,3.46881
item_518,-0.703709,2.05852,2.94285
item_519,2.93875,1.79483,-3.90885
item_520,4.44877,-0.406131,4.88417
item_521,1.19459,-1.20028,-4.54141
item_522,2.73716,1.43883,-5.07111
item_523,3.51922,0.381498,-4.20464
item_524,1.09205,-1.42121,1.92697
item_525,4.34948,-1.79237,5.59249
item_526,1.5381,2.36272,-4.82819
item_527,4.35772,-1.92643,5.46317
item_528,3.70574,0.0451516,4.88586
item_529,-1.48554,0.473117,3.17636
item_530,1.57809,2.48956,-4.87679
item_531,2.15481,2.98318,1.89507
item_532,0.0742436,1.26907,-5.47431
item_533,-1.2734,1.39695,2.86912
item_534,-2.22633,-5.95792,0.614804
item_535,-4.95494,0.676985,-1.99764
item_536,-2.27949,-5.95486,0.612104
item_537,-5.05158,1.13714,-2.21626
item_538,1.06592,-1.4061,2.37668
item_539,-4.41991,-5.1745,1.56989
item_540,-0.849248,2.33135,2.54842
item_541,-1.07551,1.87662,4.80375
item_542,0.114799,1.09983,-5.38493
item_543,2.89813,-0.576268,5.32425
item_544,0.547581,-0.710557,2.10824
item_545,-0.67715,0.593634,4.72655
item_546,-0.840829,2.57875,2.64148
item_547,-0.332155,0.956284,4.99775
item_548,-4.41865,1.60876,-1.39778
item_549,3.07188,2.87466,3.05614
item_550,0.0163825,2.30036,4.57752
item_551,1.15201,-1.43448,-4.31643
item_552,3.30042,2.96809,3.07468
item_553,-5.25007,-3.87799,1.50799
item_554,-3.06956,-5.89144,1.00724
item_555,-0.922928,-0.0229161,3.87056
item_556,3.29375,3.25377,2.95328
item_557,-5.83564,-3.68308,1.44776
item_558,0.0369468,2.24744,4.62642
item_559,2.24747,3.51474,1.37284
item_560,-0.919561,3.11183,2.51485
item_561,2.47243,1.90968,-3.48617
item_562,0.356297,1.63624,4.86192
item_563,3.41395,-0.292542,-4.30373
item_564,3.31126,3.11729,3.07725
item_565,0.0898052,0.145077,-4.99895
item_566,-4.79192,1.92871,-1.25463
item_567,1.29962,-0.708168,-4.32299
item_568,3.15695,2.315,-4.6273
item_569,2.53391,2.78187,2.64321
item_570,0.05686,1.29385,-5.20998
item_571,2.8129,2.90912,1.86407
item_572,-0.902252,2.95542,2.53032
item_573,-7.19488,-3.39804,2.12865
item_574,-3.15974,-5.37864,0.690333
item_575,-5.4027,-3.82163,1.33791
item_576,-0.807067,3.37158,2.28485
item_577,2.11637,-1.32964,-4.47345
item_578,4.42976,-0.424274,4.95697
item_579,-4.00627,1.14123,-1.1567
item_580,0.561367,-0.985304,1.88656
item_581,1.29825,-1.11841,-4.46047
item_582,0.101264,1.97734,4.84363
item_583,2.92139,-1.46669,5.48234
item_584,1.86326,2.53534,-4.8366
item_585,2.52883,3.14402,2.32585
item_586,0.502231,1.36345,-5.48174
item_587,3.16682,2.35021,-4.50553
item_588,-2.33033,-5.97843,0.674978
item_589,1.37969,3.01668,1.71706
item_590,1.58264,2.21294,-4.80019
item_591,0.909198,0.243257,-4.38013
item_592,2.97194,3.07739,3.24865
item_593,-5.20301,0.658278,-2.34668
item_594,-2.76305,-5.83049,0.698349
item_595,-1.35997,1.5003,3.18243
item_596,1.60046,2.45884,-4.84529
item_597,3.96681,-1.90645,5.45212
item_598,-4.53092,2.05429,-0.823902
item_599,-4.68557,1.88633,-1.58255
item_600,3.08106,2.39513,-4.54038
item_601,1.31864,0.475957,-3.84964
item_602,1.55262,2.45386,-4.90535
item_603,-1.1058,1.37045,3.54705
item_604,3.85313,0.0109612,4.98573
item_605,-5.05928,-4.379,1.05774
item_606,0.0102927,1.35635,-5.24049
item_607,0.904704,-2.37472,-5.59283
item_608,-4.68748,2.08206,-1.06757
item_609,2.22131,-1.39467,-4.55694
item_610,-3.12426,-5.30042,0.744849
item_611,1.86427,-1.60832,-4.69803
item_612,2.64513,2.49157,-4.21259
item_613,3.26346,-1.4051,5.5999
item_614,0.018379,1.88554,4.30762
item_615,0.875681,-1.47807,2.13521
item_616,-0.68357,2.88395,2.21813
item_617,0.273431,-1.49637,-4.89389
item_618,3.17805,2.36705,-4.53297
item_619,-6.7596,-3.22094,1.64896
item_620,3.30716,3.28192,3.11758
item_621,-0.774862,-0.0678453,4.36473
item_622,1.44046,1.4209,-4.65399
item_623,-0.952595,-0.130578,3.67397
item_624,-4.60178,2.03459,-1.03967
item_625,3.19889,1.12386,-3.88478
item_626,-0.223229,-0.202409,2.69991
item_627,1.57003,0.841592,-5.22165
item_628,0.557249,-1.14235,2.42436
item_629,-1.17888,1.01426,3.14688
item_630,-0.0275158,1.96438,4.3883
item_631,-4.05901,1.40902,-0.723308
item_632,1.66173,2.52714,-4.88599
item_633,3.09156,-0.236985,-4.88864
item_634,4.01197,-0.0620304,4.99001
item_635,2.61862,1.50799,-3.74962
item_636,2.73375,0.803491,3.96686
item_637,3.08872,1.37184,-3.93508
item_638,-2.61965,-5.85972,0.701934
item_639,-6.91299,-3.50825,2.4002
item_640,3.57242,-0.455746,5.47966
item_641,2.86517,-0.781287,-4.87886
item_642,1.60805,2.46972,-4.85273
item_643,2.94406,3.31851,3.07513
item_644,-0.116527,1.45297,4.91576
item_645,-4.78157,-4.61509,1.81798
item_646,-0.123004,1.6144,4.46561
item_647,1.36808,3.10886,1.77328
item_648,0.301975,1.53104,-5.41396
item_649,-4.85679,-4.68483,1.75913
item_650,-4.5775,2.26619,-0.916537
item_651,2.24507,3.48254,1.31652
item_652,3.0611,2.296,-4.69866
item_653,0.0616938,0.175289,3.69022
item_654,0.486656,-0.69421,2.19661
item_655,3.10929,0.198527,-3.54632
item_656,0.418044,1.41945,-5.42534
item_657,2.93885,-0.481678,5.31238
item_658,2.90246,3.43968,3.10166
item_659,-5.57336,0.694474,-2.4816
item_660,0.0161814,2.38593,4.3797
item_661,-4.32393,1.22198,-1.02432
item_662,0.0675629,1.51498,-4.88292
item_663,3.05431,-1.00441,5.53441
item_664,0.080193,1.2196,-5.49997
item_665,2.49438,-0.0753786,-3.19428
item_666,-4.64117,2.08893,-1.01428
item_667,3.01333,-0.671034,5.42694
item_668,4.09377,-0.113944,4.88577
item_669,3.19782,-1.67686,5.58901
item_670,3.57848,-0.22158,5.43502
item_671,-0.757483,-0.214206,4.75263
item_672,-3.18279,-5.28779,0.763254
item_673,-4.31166,1.54828,-0.711758
item_674,3.43855,3.48008,2.84208
item_675,1.86358,3.34645,1.58669
item_676,-0.322812,1.45812,4.98329
item_677,-5.56371,-3.78952,1.42502
item_678,0.356367,0.0295611,-5.61278
item_679,-7.33652,-3.64617,2.00068
item_680,0.0897144,0.0127208,3.74311
item_681,0.241381,0.569555,-5.18214
item_682,-5.17359,1.82402,-1.71147
item_683,0.894737,-1.76554,-4.65737
item_684,3.17708,2.01851,-4.67044
item_685,2.54644,3.04796,2.65191
item_686,-0.991138,3.40054,2.53673
item_687,2.75457,-1.01387,-4.18655
item_688,1.33642,0.40539,-4.74813
