"","compoundA","compoundB","correlation","fdr"
"1116","Lysine","Isoleucine",0.922667621039162,1.91092482375588e-05
"1118","Tyrosine","Isoleucine",0.846733517506431,0.000511914359520027
"1311","Succinic acid","Glycine",0.882378258600207,0.000145075193318522
"1316","Serine","Glycine",0.762531044567871,0.00392825224061966
"1317","Threonine","Glycine",0.910331165864525,3.92123506820496e-05
"1392","Serine","Succinic acid",0.783343775657626,0.00257924294118372
"1393","Threonine","Succinic acid",0.820443375615209,0.00107811092311327
"1426","myo-inositol","Succinic acid",-0.798998119894231,0.0018236223020609
"1482","Glutamate","Glyceric acid",0.741083266152523,0.00581896333132659
"1490","Shikimic acid","Glyceric acid",0.736290929642719,0.00632156327872613
"1498","Tyrosine","Glyceric acid",-0.858048144201827,0.000355910150151573
"1501","Glucaric acid","Glyceric acid",0.742884978100984,0.00563801479261317
"1543","Nonanoic acid","Itaconic acid",0.809884268250636,0.00140776789007235
"1547","beta-Alanine","Itaconic acid",0.756441526798814,0.00440895593611246
"1548","Putrescine","Itaconic acid",0.734252776334287,0.00654492869675694
"1565","Azelaic acid","Itaconic acid",0.793425009559381,0.00206992074078127
"1570","Fructose","Itaconic acid",-0.740753423042454,0.00585255785445149
"1576","Hexadecanoic acid","Itaconic acid",0.721553122335973,0.00807302669031729
"1587","1-Monohexadecanoylglycerol","Itaconic acid",0.709624341102925,0.00973781931216022
"1629","Aspartic acid","Fumaric acid",0.925195341566546,1.62541392003668e-05
"1634","Glutamate","Fumaric acid",0.767852079920825,0.00354171368649281
"1653","Glucaric acid","Fumaric acid",0.842315632952419,0.000585473540251291
"1655","Heptadecanoic acid","Fumaric acid",0.703778622289927,0.010641172366807
"1658","Octadecanoic acid","Fumaric acid",0.727639057118053,0.00731073452321862
"1661","Eicosanoic acid","Fumaric acid",0.765251439480549,0.00372683938202156
"1662","Docosanol","Fumaric acid",0.759212985910885,0.00418496346775532
"1664","Docosanoic acid","Fumaric acid",0.782567338080305,0.0026220944190376
"1668","Tetracosanoic acid","Fumaric acid",0.723068662235459,0.00787788350642726
"1699","beta-Alanine","Nonanoic acid",0.860030597471137,0.00033290189304469
"1700","Putrescine","Nonanoic acid",0.820101982000911,0.00108773499304471
"1708","2,4,6-Tri-tert.-butylbenzenethiol","Nonanoic acid",0.829097608768578,0.000855272611708591
"1717","Azelaic acid","Nonanoic acid",0.752789581232537,0.00471782328595327
"1722","Fructose","Nonanoic acid",-0.812360741703282,0.00132430877403822
"1739","1-Monohexadecanoylglycerol","Nonanoic acid",0.813711798253859,0.00128041146706348
"1748","Gulose","Nonanoic acid",0.719372338614759,0.00836014505449367
"1773","Threonine","Serine",0.776201892966622,0.00299420809492856
"1812","Galactosylglycerol","Serine",-0.708407396974197,0.0099209811570411
"1862","Glutamate","Threonine",0.700456154834551,0.0111815721887978
"1888","Galactosylglycerol","Threonine",-0.81556179134709,0.0012221287718901
"1932","Methionine","Glutaric acid",-0.748712039253999,0.00508171202615282
"1936","2,4,6-Tri-tert.-butylbenzenethiol","Glutaric acid",-0.722570959988961,0.00794157461048939
"1937","Threonic acid","Glutaric acid",-0.804122212668694,0.00161759153879659
"1938","Glutamate","Glutaric acid",0.73439677864189,0.00652895534697984
"1957","Glucaric acid","Glutaric acid",0.857071707256075,0.000367687648821224
"1966","Docosanol","Glutaric acid",0.743398001461903,0.00558727546970772
"1968","Docosanoic acid","Glutaric acid",0.744920914893276,0.00543868092508726
"1971","Maltose","Glutaric acid",-0.721760797763042,0.00804607452119011
"1972","Tetracosanoic acid","Glutaric acid",0.718128554032674,0.00852727986912005
"2004","Putrescine","beta-Alanine",0.993286920521369,1.0616818535425e-10
"2012","2,4,6-Tri-tert.-butylbenzenethiol","beta-Alanine",0.733155904725966,0.00666756389514545
"2021","Azelaic acid","beta-Alanine",0.807106845846905,0.00150611486550867
"2026","Fructose","beta-Alanine",-0.780119807866354,0.00276073395962073
"2032","Hexadecanoic acid","beta-Alanine",0.710559133573598,0.00959884417877155
"2043","1-Monohexadecanoylglycerol","beta-Alanine",0.942149870097427,4.62840742176951e-06
"2097","Azelaic acid","Putrescine",0.799464105879862,0.00180409655170255
"2102","Fructose","Putrescine",-0.771489658324905,0.00329458980967567
"2108","Hexadecanoic acid","Putrescine",0.759021688450047,0.0042001413538153
"2119","1-Monohexadecanoylglycerol","Putrescine",0.932397366755268,9.91965601393474e-06
"2176","Dehydroascorbic acid dimer","Malic acid",0.734839122777741,0.0064800717957143
"2177","Quinic acid","Malic acid",0.903374479889649,5.62930467544742e-05
"2189","9-(Z)-Octadecenoic acid","Malic acid",0.754816079976674,0.00454447813156378
"2261","Glucaric acid","Adipic acid",0.744127706127487,0.00551569956285114
"2266","Octadecanoic acid","Adipic acid",0.74996723777523,0.00496751476874424
"2276","Tetracosanoic acid","Adipic acid",0.740938610254062,0.00583367860900541
"2393","Threonic acid","Methionine",0.769240090383845,0.00344581289528656
"2414","myo-inositol","Methionine",0.805185023450672,0.00157719370321097
"2432","Gulose","Methionine",0.804377842399425,0.00160780326891485
"2470","Glutamate","Aspartic acid",0.906652169956282,4.76406574245747e-05
"2471","Phenylalanine","Aspartic acid",-0.721949595781449,0.00802163074049256
"2475","Ribonic acid ","Aspartic acid",0.721979327305343,0.00801778645409179
"2489","Glucaric acid","Aspartic acid",0.876070393483172,0.000186314214149164
"2497","Eicosanoic acid","Aspartic acid",0.772644498073464,0.00321894573380122
"2498","Docosanol","Aspartic acid",0.794778930633543,0.00200787702082628
"2500","Docosanoic acid","Aspartic acid",0.813160688804207,0.00129818026763817
"2504","Tetracosanoic acid","Aspartic acid",0.720198129576755,0.0082505394514083
"2548","Asparagine","Pyroglutamate",0.861427816521952,0.000317393900255869
"2549","Arabinose","Pyroglutamate",0.701831901334867,0.0109553924581092
"2550","IS","Pyroglutamate",-0.844233639672724,0.000552596446123488
"2552","Glutamine","Pyroglutamate",0.943658654190095,4.06595226043471e-06
"2554","Shikimic acid","Pyroglutamate",-0.886501932685165,0.000122241549193269
"2557","Quinic acid","Pyroglutamate",-0.751532706208993,0.0048278175493055
"2560","Lysine","Pyroglutamate",0.941852363518099,4.74624365409682e-06
"2562","Tyrosine","Pyroglutamate",0.7887710330842,0.00229443716248356
"2569","9-(Z)-Octadecenoic acid","Pyroglutamate",-0.703036228001878,0.0107602009371597
"2639","Gluconic acid","4-amino Butyric acid",0.744555674725832,0.00547404344750912
"2731","Maltose","2,4,6-Tri-tert.-butylbenzenethiol",0.730684231664278,0.0069502285364802
"2812","Gulose","Threonic acid",0.838519340372092,0.000655001942918787
"2869","Glucaric acid","Glutamate",0.873023405556913,0.000209253925642194
"2886","Galactinol","Glutamate",-0.715082372612676,0.00894715382050904
"2931","Ribonic acid ","Phenylalanine",-0.736817159471674,0.00626483547897694
"3005","Arabinose","Asparagine",0.837598767304018,0.000672785916458363
"3008","Glutamine","Asparagine",0.956830777856586,1.09803290371246e-06
"3010","Shikimic acid","Asparagine",-0.80228157314093,0.0016894278639219
"3016","Lysine","Asparagine",0.951655778186155,1.91714527786324e-06
"3018","Tyrosine","Asparagine",0.844139095300362,0.000554182717066531
"3019","Gluconic acid","Asparagine",0.802352721297781,0.00168660646097418
"3084","Glutamine","Arabinose",0.804551380819785,0.00160118428541889
"3092","Lysine","Arabinose",0.806845597840249,0.00151562982311138
"3094","Tyrosine","Arabinose",0.72240606702713,0.00796276075555458
"3095","Gluconic acid","Arabinose",0.787518709146548,0.00235791020238585
"3160","Glutamine","IS",-0.783850706003849,0.00255155516725325
"3162","Shikimic acid","IS",0.721031278814038,0.00814104975992613
"3164","Dehydroascorbic acid dimer","IS",0.852422847199809,0.000427979755954322
"3165","Quinic acid","IS",0.820069321733836,0.00108865916082612
"3168","Lysine","IS",-0.718436367120911,0.00848568674008554
"3185","Adenosine","IS",0.879811970421455,0.000160885209764094
"3314","Shikimic acid","Glutamine",-0.858424032533934,0.000351455362913589
"3319","Glucose","Glutamine",0.702243395608912,0.0108884060277128
"3320","Lysine","Glutamine",0.973735376694736,9.41889195527068e-08
"3322","Tyrosine","Glutamine",0.836907662021948,0.00068638073944971
"3329","9-(Z)-Octadecenoic acid","Glutamine",-0.713518555208489,0.00916860415112586
"3411","1-Monohexadecanoylglycerol","Azelaic acid",0.755521932661623,0.00448524602615885
"3420","Gulose","Azelaic acid",0.753659709652488,0.00464279188008443
"3468","Dehydroascorbic acid dimer","Shikimic acid",0.70014128927486,0.0112338215723742
"3469","Quinic acid","Shikimic acid",0.731235597975354,0.00688640845166244
"3472","Lysine","Shikimic acid",-0.879216810388147,0.000164736995283299
"3474","Tyrosine","Shikimic acid",-0.858130041738287,0.000354935832165504
"3481","9-(Z)-Octadecenoic acid","Shikimic acid",0.769615414892529,0.00342022306749312
"3554","myo-inositol","Citric acid",-0.728377517036311,0.00722205273282106
"3621","Quinic acid","Dehydroascorbic acid dimer",0.866619219755571,0.000264634159482302
"3633","9-(Z)-Octadecenoic acid","Dehydroascorbic acid dimer",0.800265150518059,0.00177090599247243
"3641","Adenosine","Dehydroascorbic acid dimer",0.863043460726031,0.000300169007921625
"3709","9-(Z)-Octadecenoic acid","Quinic acid",0.726819572866174,0.00741009945951321
"3717","Adenosine","Quinic acid",0.813721888199779,0.00128008790192524
"3775","Glucose","Fructose",0.793230479557498,0.00207895421266135
"3777","Galactose","Fructose",0.79874863881044,0.00183414238226787
"3791","1-Monohexadecanoylglycerol","Fructose",-0.832343539371021,0.000781583112341222
"3853","Galactose","Glucose",0.999242292937413,1.99840144432528e-15
"3856","Hexadecanoic acid","Glucose",-0.737449196280213,0.00619720860812523
"3930","Tyrosine","Lysine",0.84941916207233,0.000470838766248427
"3937","9-(Z)-Octadecenoic acid","Lysine",-0.769427808905279,0.00343299603159242
"4008","Hexadecanoic acid","Galactose",-0.73106623645468,0.00690596487089001
"4085","Glucaric acid","Tyrosine",-0.738971817346777,0.00603654581503843
"4239","Heptadecanoic acid","Hexadecanoic acid",0.753404375760957,0.00466471517805545
"4242","Octadecanoic acid","Hexadecanoic acid",0.774237621593683,0.00311676967591001
"4321","Eicosanoic acid","Glucaric acid",0.732839650565525,0.00670324091303875
"4322","Docosanol","Glucaric acid",0.778413535621983,0.00286064042977774
"4324","Docosanoic acid","Glucaric acid",0.789258788099078,0.00227007218373476
"4327","Maltose","Glucaric acid",-0.720878769768879,0.00816101024706795
"4328","Tetracosanoic acid","Glucaric acid",0.753750902603309,0.00463498084553882
"4401","Adenosine","myo-inositol",0.742276829573033,0.00569861105693636
"4470","Octadecanoic acid","Heptadecanoic acid",0.967890893419613,2.54687228640194e-07
"4471","Nonadecanoic acid","Heptadecanoic acid",0.867555159116718,0.000255898758658502
"4473","Eicosanoic acid","Heptadecanoic acid",0.933532527172246,9.13203345431768e-06
"4474","Docosanol","Heptadecanoic acid",0.896425026607893,7.87120410028486e-05
"4476","Docosanoic acid","Heptadecanoic acid",0.896722446886384,7.76284261094773e-05
"4480","Tetracosanoic acid","Heptadecanoic acid",0.911469136856396,3.68588045631668e-05
"4559","3-trans-Caffeoylquinic acid","Caffeic acid",0.928785694617465,1.27888003649268e-05
"4629","Adenosine","9-(Z)-Octadecenoic acid",0.709662180055693,0.00973216487564521
"4699","Nonadecanoic acid","Octadecanoic acid",0.873938260934763,0.000202146952076987
"4701","Eicosanoic acid","Octadecanoic acid",0.942649276893995,4.43582033105017e-06
"4702","Docosanol","Octadecanoic acid",0.914477789343174,3.11683923268635e-05
"4704","Docosanoic acid","Octadecanoic acid",0.914681102348745,3.08104525705843e-05
"4708","Tetracosanoic acid","Octadecanoic acid",0.95806633984982,9.5162781343916e-07
"4777","Eicosanoic acid","Nonadecanoic acid",0.844248650507586,0.000552344917598813
"4778","Docosanol","Nonadecanoic acid",0.813930223110698,0.00127342104736994
"4780","Docosanoic acid","Nonadecanoic acid",0.805821855278237,0.00155336129029626
"4784","Tetracosanoic acid","Nonadecanoic acid",0.842152602555395,0.000588336406093681
"4857","Adenosine","Galactosylglycerol",0.78609637372838,0.00243161704292749
"4862","Galactinol","Galactosylglycerol",0.765747291991888,0.00369098847928928
"4930","Docosanol","Eicosanoic acid",0.990676597188034,5.46213296814813e-10
"4932","Docosanoic acid","Eicosanoic acid",0.993718945265977,7.61835039497782e-11
"4936","Tetracosanoic acid","Eicosanoic acid",0.980123007194503,2.36353372429221e-08
"5008","Docosanoic acid","Docosanol",0.996812215505028,2.57860399699439e-12
"5012","Tetracosanoic acid","Docosanol",0.97566089419688,6.45764712814412e-08
"5164","Tetracosanoic acid","Docosanoic acid",0.975153369364842,7.15348889013256e-08
"5242","Galactinol","Adenosine",0.782192787308024,0.00264295890599575
