,dimension_1,dimension_2
7,0.9919354,-0.7904691
2,-3.5163272,-0.311784
8,-2.7532404,-1.2934928
2,-1.8783972,1.1315543
9,1.0116741,2.0466662
4,-1.8065077,1.771791
4,-1.6264788,1.8468019
6,0.1120123,3.7106964
4,-2.5534328,1.7540067
9,-0.5430432,-1.2006609
7,-2.1611929,2.4161427
0,-3.2546404,-1.1695417
9,-1.0458096,1.2879236
2,1.003534,-0.3871086
9,0.0001078,-2.3235507
5,-2.8142187,-0.8986077
1,-0.560671,-0.5005336
5,0.8785059,2.5147866
9,-0.7075582,1.0020486
1,-1.7310448,1.4831083
2,-0.3291707,-0.9560793
3,-2.5509439,1.3720248
2,-1.678527,-0.4577353
3,1.1563025,-1.6164222
5,0.3667635,3.6555723
9,0.0248581,-1.2933689
1,0.1721384,3.6103337
7,-1.4981597,-0.6900742
6,-0.7038907,2.3404734
2,1.227769,-0.0031049
8,-2.117905,-0.5319522
2,-1.7843177,0.9326084
2,-1.6438044,0.396924
5,1.4353524,-0.1926642
0,-2.4806125,-1.3239765
7,-1.7653567,1.7058996
4,-0.3953185,3.175283
9,-3.2848346,1.5264852
7,1.4102733,-1.3537723
8,-0.0485237,-1.3997056
3,0.4860596,-0.9531513
2,-1.8299505,1.169961
1,1.1818345,0.2020223
1,-3.5036218,0.4108952
8,-2.5184681,1.5449464
3,0.163735,-0.8593375
6,1.4104432,-1.6176099
1,-2.9902487,-0.254137
0,-3.2253104,1.5956152
3,-3.2214378,-0.5984411
1,0.0770578,3.6481439
0,-3.0647268,0.1897117
0,0.5323901,1.0816503
1,-3.5535499,-0.1156913
7,-1.3259455,1.958856
2,-1.3013241,0.4444197
7,-2.4535959,0.3286615
3,-1.7621963,2.5938289
0,-1.3170949,2.3212585
4,0.5133576,-0.702796
6,1.5334893,0.3220393
5,-0.3252226,0.5825807
2,-0.5245947,-1.3544059
6,-2.6777189,1.4623602
4,-3.0188543,-1.0282553
7,-1.5245068,1.2083679
1,0.184123,3.8279014
8,0.0160319,-0.3395113
9,-3.3240093,0.7919618
9,-0.2824915,3.2843616
3,-3.1042005,1.4872623
0,-2.2299296,-0.1851542
7,-0.1202145,3.5156785
1,0.091709,3.7000002
0,-1.1352757,-1.5886787
2,-3.4537694,-1.1865131
0,-1.1804373,-0.4197833
3,-1.6474663,2.5067924
5,0.3311578,-0.2554219
4,0.1376223,3.2809318
6,-2.0531277,1.3829035
5,-2.5583747,-0.5011167
8,-0.0425414,3.6021067
6,0.3368409,-2.0470615
3,-1.9459461,2.5582953
7,-1.2562327,1.6333695
5,-2.7639686,-0.3879778
8,-0.9670113,1.1720711
0,-1.7677585,-1.707781
9,0.7858488,-0.3897683
1,-1.4794239,0.973844
0,0.5284178,3.4879683
3,-3.0260635,-0.0740822
1,-1.8014985,1.4580289
2,1.1361819,2.0088374
2,0.4321583,-0.7375577
3,-0.4144759,2.8528747
3,-2.5708593,1.0832501
6,-1.6249177,-1.0371442
4,-0.5825087,0.6747644
7,0.2564133,3.6106965
5,-2.2276518,1.9487692
0,-0.6450302,-0.2974396
6,-2.3898568,1.4038319
2,-2.0079974,2.362904
7,-2.56131,0.6602451
9,1.5360175,-0.430347
8,-1.0063251,-0.4431684
5,-0.8484511,2.0734211
9,-2.7838824,1.6505208
2,-1.8084385,1.0488689
1,-1.5055968,-0.7450194
1,-1.7863624,-1.0696007
4,-1.9569894,-0.6498303
4,-0.6675591,-1.9476321
5,-1.430126,-1.7852447
6,-0.4823958,0.6948774
4,0.1370853,-2.4209519
1,-0.5701663,0.9647627
2,0.1804753,3.7958636
5,-1.3651047,1.2754178
3,0.2170063,3.4870158
9,-1.2977749,-0.4621726
3,-1.7096766,-0.790274
9,0.6061093,-1.1080092
0,-1.0125863,1.2484284
5,0.742355,-1.8333402
9,-0.6359764,-0.4357218
6,1.153292,-1.9166484
5,-2.6390834,1.5994428
7,0.3005621,3.3421179
4,-0.6827959,2.9842764
1,-1.9491251,-0.9894941
3,-3.5309648,0.046815
4,-0.0693812,-0.9155793
0,-1.7729874,-1.6359558
4,-2.5805817,-1.2051987
8,0.2769076,3.2714369
0,-2.8287769,-0.1658707
4,0.9313025,0.3562286
3,1.0869521,0.2953387
6,-2.2714135,2.1745332
8,1.2304743,2.0041648
7,-1.763157,-1.1422519
6,0.8586618,1.7171037
0,-1.6799527,0.6594782
9,0.6047873,1.0950609
7,-1.160738,2.334003
5,0.1779899,0.8135003
7,0.097548,3.6279429
2,0.9008513,2.5997156
1,-3.3874976,-0.6920552
1,0.0782958,2.2883429
6,-3.2125061,1.6362368
8,-2.1648235,2.3587934
9,-1.3935601,-0.7272193
4,-0.2504959,2.4590633
1,0.8212484,0.2725586
5,-1.6126214,2.2457622
2,-2.2559354,-0.8119953
2,0.2774642,-2.2934325
9,-2.7282696,-1.1894056
0,-3.4549615,0.6371067
3,1.0269786,0.1887287
9,-0.2668118,3.3860443
6,-2.1417083,2.1977389
7,0.6562843,-0.7107932
2,0.6404065,1.0806854
0,-0.5173347,1.4120912
3,1.5054292,-1.279315
5,-1.9857929,1.1240898
4,-1.4886796,2.0972389
3,-1.7683983,1.7482615
6,1.8680125,-0.220965
5,0.4351225,3.0654435
8,1.2613798,2.0858727
9,0.4073302,3.1709079
5,-1.2218181,1.5704539
4,-2.5708521,0.5764547
7,-1.8339565,1.7225263
4,0.008614,3.3058252
2,0.2189801,0.4122789
7,0.9642708,0.5483486
3,-0.8717511,2.0433375
4,1.7070377,0.0625069
8,-0.5878259,0.7588704
9,-1.0996663,-0.9148815
1,-0.2624517,-0.7934986
9,0.1539865,-1.0133276
2,0.7736859,2.7659509
8,0.4058004,-1.3857732
7,-2.8817891,-1.1638085
9,0.5029791,-2.2068671
1,-1.1467213,-0.4101019
8,-3.1236618,-1.1382952
7,-1.9138106,-0.9786069
4,0.5228131,3.1605259
1,-1.6248408,1.8238305
3,-1.9734655,0.4603796
1,-1.6446435,1.7198563
1,-3.3617657,1.2434571
0,-3.5592174,-0.2402499
2,-1.3932806,-1.8230864
3,-2.3822828,0.8644538
9,-3.4290751,-0.5539183
4,-0.9850488,-2.1015307
9,-1.6097302,-1.6810276
2,-2.5690997,1.5955622
1,-1.8425226,-1.3102412
6,1.0399712,0.2962751
8,-0.5925325,2.3059118
4,-1.2163973,1.96456
7,-0.1838995,3.4274893
7,0.9345503,0.3166388
4,-0.2275294,3.6840563
4,0.8930053,1.8244158
9,0.1135465,3.6819911
2,0.6477133,0.2840619
5,-1.3126685,2.2216298
7,0.9362007,-0.5556897
2,-0.123805,3.722236
4,-0.1146025,1.9627683
4,-0.4344563,0.2399121
2,-3.0896558,-1.2125297
1,0.3299142,-0.5627351
9,0.2652323,3.0934822
7,-2.5228204,1.6466849
2,-2.3134029,1.7589866
8,0.6018508,-0.4720462
7,-2.6121727,0.890923
6,0.063017,3.6304203
9,-0.3323603,-0.5355885
2,-2.2034022,1.6081309
2,0.3580065,3.1181644
3,-2.1646823,-0.1803696
8,0.7546128,-1.9277564
1,-3.0440044,1.7483265
6,0.6306427,-0.8625343
5,-1.4148895,-0.6499879
1,-0.9293254,1.2211519
1,-3.1434983,1.6044775
0,0.9578099,-0.5954366
2,-0.5799059,1.0670352
6,-3.3705199,-0.9940169
4,-0.7814446,1.5183607
5,-1.4553198,1.7581972
8,-3.3142715,0.0757812
3,-3.443807,-0.43404
1,0.3386589,3.6499297
5,-3.3481211,-0.2081451
1,0.227094,3.8462909
9,1.5784604,0.2474814
2,0.861113,-0.400999
7,-1.3031127,1.842045
4,1.7706635,-0.0108818
4,-2.9030076,1.5908393
4,-3.195103,1.568652
8,-2.8287773,1.7875745
1,0.2369128,3.6399744
5,-2.53178,1.5575181
8,1.4633297,-0.6487414
9,0.6240322,-1.9447784
5,0.6273721,1.1123005
6,-3.0838375,1.5051686
7,1.2438432,0.4443065
9,1.7956089,0.4616216
9,-1.6390751,1.854188
3,-0.5504169,-0.4659843
7,0.128296,-1.0815175
0,-2.7227338,-0.7141036
9,-0.3281891,-1.0452128
0,-1.9324821,-0.9394774
6,-1.3726631,0.8628848
6,-0.9449289,-0.2637166
2,-1.1082646,-1.6993392
3,-2.1570089,1.6289813
9,-0.3484525,0.4343622
0,-3.3643766,-0.8114879
7,0.3047118,3.0304168
5,1.255885,-1.6631303
4,-3.0311997,0.5930773
8,0.1269766,3.2043528
0,-2.6266799,1.1762904
9,-0.2073191,-1.2675543
4,-1.5785858,1.625253
1,-3.0208493,1.8271014
2,0.7063,2.5647498
8,-3.2807011,0.5319792
7,0.9181169,-1.1670289
1,-2.264113,-0.6443771
2,-1.6376938,1.8529546
6,-1.4116091,2.1185408
1,0.8159056,-1.9717942
0,-1.4247156,1.9366256
3,-1.1356551,-0.7640784
0,-1.3518947,1.2950339
1,-2.8935197,0.5353372
1,-2.3085706,2.3048352
8,-3.1981304,-1.2786098
2,-2.7157602,1.7759268
0,1.402142,2.2521914
3,-0.7233831,-1.8219017
9,-3.192636,1.6565973
4,-0.2436089,-2.2130017
0,-2.8780068,0.5350018
5,-2.47876,1.2957915
0,-2.3796277,1.9033987
6,1.3705707,-1.317024
1,-1.1013053,0.447895
7,-1.6261339,1.4968616
7,-2.8768953,-1.4009125
8,0.0188168,-2.1438092
1,-2.3606825,0.7216031
9,-0.9313959,-0.4942049
2,0.6986569,0.2594184
0,-3.1129343,1.2498441
5,0.0316087,-1.5360484
1,-1.767783,1.839624
2,1.2941144,2.0707869
2,-2.6284353,2.0604517
7,-1.660325,-1.7419328
3,-2.1048975,-0.7714832
5,-2.3208201,-0.4842444
4,-0.0991383,3.6521497
9,0.7712882,-0.3705501
7,-1.315024,0.6615395
1,0.3659438,3.5710524
8,0.3474498,-0.3674415
3,-0.7501155,-1.587295
9,0.7089692,-2.2498411
6,-2.9654221,0.8638678
0,-1.6924611,-0.9094172
3,-0.0419749,3.5334527
1,-3.0664473,-0.1748973
1,-2.3035224,-1.5537376
2,-2.0954501,1.0398574
6,-3.3133513,-0.1885234
3,-2.332713,1.7910603
5,1.7583743,-0.5406177
7,-1.5219487,-0.6649126
6,0.1716432,-0.9418856
8,0.7960726,-2.073707
3,0.0897989,3.7139599
9,1.5738865,0.5785197
5,-1.3936018,0.3254603
8,0.2473025,3.404908
5,-0.8941995,-1.2484027
7,1.4308609,-1.5539161
6,-2.9230242,-0.3493815
1,0.1623212,3.6811582
1,0.0490343,-0.2272366
3,0.3829694,-2.0134917
1,-2.2617042,1.840065
7,-1.8870913,-0.1351149
5,-2.5949177,1.5524403
5,1.0155111,-0.4842006
5,-1.211035,2.7503073
2,-1.3447936,-0.0449879
5,0.5649882,-1.0667905
8,0.4813742,-0.4671517
7,1.0732886,-1.6496851
0,-0.4788683,0.7720165
9,0.3394157,3.0783646
7,1.0974681,2.4071703
7,-1.6201464,1.6724711
5,-1.2966492,-1.3590757
0,-2.6590826,1.93647
9,-1.4058461,1.1012207
0,-0.743648,0.3590554
0,0.4211269,-1.6951403
8,-3.2392034,1.0578922
9,-0.0912785,-2.3427859
2,-1.04415,-0.5218329
4,-3.3667293,0.060577
8,0.0152106,3.2061641
1,0.685377,-2.138506
6,-1.826415,-0.9979946
1,0.2623708,-0.6075455
6,0.3219862,3.0961763
5,-1.0106169,-0.1624238
1,0.2632973,3.3988107
8,1.6767669,-0.5319334
3,0.052459,3.4847925
4,0.7526891,-0.5597528
0,-1.830599,-1.1694321
5,-0.0236555,-0.3790086
5,1.2266684,-0.7407753
8,-2.0194782,1.8304246
3,1.0672352,0.5006186
6,0.1571764,-1.2832099
2,-1.8498377,2.4889749
3,-1.7506732,1.6866584
9,-2.5391151,0.8705137
2,-1.7680281,-0.7510567
1,-1.2645204,-1.5969787
1,-3.2200176,-0.3276587
5,-0.2929511,3.2953023
2,-1.419134,1.8568285
1,-0.3903002,-1.4641018
3,-2.9216687,-0.8449484
2,1.1584622,2.5232796
8,0.2950449,3.5672091
7,-2.6671106,2.220648
3,-1.4514023,2.479093
7,0.4073665,-1.7707908
2,-1.678169,-0.8791518
4,-3.0730682,-0.4461056
6,-1.6689052,-0.9501598
9,-3.2042639,-1.1970209
7,-3.441663,0.8097421
2,0.6538084,2.4373716
4,-1.8568429,1.2296176
2,0.6128972,-0.8796103
8,0.5428676,1.6053453
1,-2.6672834,1.1931728
1,-0.7105376,0.312828
3,0.4545595,-0.7189212
8,-0.3640645,-0.9061894
4,0.982394,2.9996172
0,-0.8460658,-1.9490729
6,-2.0071005,1.6927128
5,-0.3720867,-1.8315807
9,-2.9246064,1.856653
3,-0.5864341,2.3909917
0,-0.0896317,-1.6865041
9,-1.7338305,0.0796532
2,-1.4610175,0.4785686
4,-2.1002326,1.2908293
7,-0.6268317,0.2182532
1,1.2831291,0.5320641
2,-1.2109145,-0.5311104
9,-3.2838356,-0.688285
4,0.3873271,1.4589528
2,-1.9513225,1.0594346
6,-2.3619467,1.0150049
1,0.2446973,3.3322665
8,-0.2610168,-0.6425358
9,-2.4750996,1.8389106
0,-3.2842772,-0.5661225
6,-0.1089804,-2.1448661
6,-1.1797144,1.727278
7,-3.0569814,1.3166004
9,1.1843462,-1.3360332
9,-3.2822621,-0.3237869
8,-2.7499994,-1.4009548
0,-2.9510516,0.657522
1,0.3089465,1.4966964
4,-2.417213,1.0771448
4,0.5569587,-1.1638728
6,0.9342545,0.8884131
7,-0.6269991,-1.0659799
1,1.7199145,-0.6720656
5,0.5195614,2.7006894
7,1.0299639,0.1687292
0,-0.183494,3.1116768
3,-2.6799291,-1.4305261
5,-2.9409476,-0.7979239
8,1.1666796,2.3630967
4,-2.2767478,1.8082889
7,1.4019607,-0.9396016
1,-0.6585191,0.1120769
2,-0.6832572,-1.4978261
5,-2.977367,0.2676753
9,0.9159475,-0.9875372
5,-1.2990997,2.327749
6,0.1953523,1.0891578
7,1.3778859,0.3439032
5,0.9597983,0.6992338
9,0.5137562,3.5303719
8,1.3053774,-1.1698384
8,-1.3682861,-1.435781
3,-1.3761624,2.3839835
6,-0.2200928,-1.5114976
9,1.0142204,1.1176359
7,1.3669974,0.2486707
0,-1.7302149,-0.9160033
7,0.0635711,-0.1185329
5,-0.502198,0.5816105
7,0.8695742,2.7808639
1,-1.9221054,0.2431831
1,-1.2856632,0.1399209
0,-2.6731215,1.3064158
7,0.053864,-1.2083033
9,0.2148492,3.7633281
2,-1.610252,1.6689518
3,0.0135694,3.7524341
7,0.4377573,1.3779136
3,1.0672467,2.2009082
2,-0.9541718,-0.9939279
4,-1.8911705,1.5880091
1,1.477911,-1.0864268
6,1.2737315,0.7322329
2,-0.6814306,-0.119438
7,0.1995463,0.5142029
5,0.9366881,-0.5575052
5,-0.5980365,-1.5773299
7,-0.1812077,1.445899
4,-3.460393,-0.1876327
0,-1.5974596,0.6395681
2,-1.76258,1.7655478
6,-0.5679408,0.4239172
3,-2.6562646,-1.1403095
6,-1.0709411,1.775373
4,-0.7181048,-0.2376304
0,-1.2540809,1.4877839
4,-1.8564674,0.8875848
2,-2.1399926,-0.8563618
6,-2.3994813,-1.1976184
0,1.236536,-0.0257938
0,0.7915043,-1.0635307
0,0.2054523,3.8027535
0,-1.9979511,-0.4918538
3,-1.5050846,0.4126971
1,-0.126289,3.3084662
6,0.9747384,-0.1087976
2,0.8753162,0.4788928
2,-3.5421932,-0.222828
3,-2.538152,-0.1750404
1,-0.1661943,-2.2313894
4,1.0076029,2.3364813
1,0.1504622,3.4613338
5,0.6175448,-1.111415
4,1.8126516,-0.5320223
6,0.0040016,-1.6390682
4,-0.6786555,-2.2185632
7,1.3444037,0.5059851
2,-0.5347407,0.4205265
8,-1.0421725,2.0566404
7,0.707965,0.673831
9,0.1355803,0.7001528
2,-0.7792469,0.896037
0,-0.3565334,-0.434049
5,0.5822903,0.1838574
1,-3.6019895,-0.1951213
4,-2.5903911,-1.1996596
2,0.3562971,2.1387891
8,0.2046819,-2.2333997
3,-1.0475373,-0.8742403
2,-1.4028478,0.5122098
4,-0.9385615,2.7017652
1,-1.5620261,1.5342867
5,-0.2248031,3.4921759
4,0.7776811,-0.7703254
6,0.0462597,-1.6479237
0,0.2233591,1.3428592
7,-2.6290565,1.6509195
9,1.1976159,2.0316057
8,0.175027,1.2673781
4,-0.4027084,0.4372672
9,0.3379453,-1.3454711
8,-1.4127524,-1.2870273
0,1.2613471,-1.5174266
1,0.5220801,2.9212341
1,0.2012288,1.3992441
0,0.0320058,-1.7779631
2,-0.4165006,-0.0525464
2,-2.0982024,0.0118467
3,0.8749606,0.6686496
2,0.5603836,0.7679636
4,-0.8080161,-0.5446724
4,-2.8178551,-0.4147634
5,-0.6655046,-1.5760034
8,-3.2159706,1.5597104
6,-2.4864882,-0.8925963
5,0.6551655,2.6881548
7,1.0900591,1.9967707
7,-1.6013096,2.1007752
8,-1.5285679,0.1620832
8,-1.9928661,2.4357252
9,-1.993682,1.2321441
7,-0.5774871,-0.1158624
4,-0.0503559,0.3425226
7,1.2289706,2.0094456
3,-1.6743055,-0.8803471
2,-2.5946464,-0.7481432
0,0.3191789,3.6326308
8,-1.5692745,0.6371728
6,-0.7666229,2.8413823
8,-2.6537513,-1.1902858
6,-2.9676063,1.7215646
1,0.3174261,1.4516109
6,0.6001592,1.8169444
8,1.2144173,2.5274367
9,0.4281142,3.0325512
4,0.8435744,-1.1369023
0,0.9126524,0.2355436
9,1.1005483,1.9749065
0,-1.9436382,0.6276031
4,-0.3960772,1.1986046
1,1.2268588,-0.2727947
5,-2.3379847,1.1700022
4,-0.7989769,-0.2632621
7,0.1838955,-0.4881558
5,-2.1528563,-0.7237262
3,1.0176941,0.524113
7,-1.5131421,1.0551188
4,1.2152784,0.0501093
9,0.1140595,2.4823571
8,-2.6249078,2.092814
5,0.5970368,0.635908
8,-1.486331,1.9509025
6,0.9375231,-0.8273163
3,0.2261658,2.7803329
8,-0.4818591,0.1306794
6,-1.265196,-1.515561
9,-1.6565398,1.4364483
9,-2.9913124,-0.6542231
1,1.1348284,0.0365942
8,-1.7768333,0.5906092
3,1.2744186,2.1298877
5,0.6397229,-1.7143892
8,0.101337,1.185257
6,-1.262024,2.4140404
5,-1.5663187,-0.5254715
9,-2.1728173,0.6340181
7,-1.6254276,0.4476803
2,-0.7594575,0.8345628
5,0.1601583,1.3831941
0,-2.8150291,-0.5609099
8,-3.0630792,-1.2419092
5,0.2592329,1.4609503
1,-0.8524865,-0.0691283
1,-2.6538334,-0.3818069
0,-1.4493373,-0.6268274
9,0.7190603,-1.4001734
1,1.0608167,0.663749
8,1.2152969,0.3937819
6,-3.1836338,-0.5889456
7,-1.5734876,0.2499265
0,-0.8845513,1.2173043
9,-3.2217741,0.9285979
3,-2.1375225,-0.0631276
0,-0.5838487,-0.046791
8,-2.724584,-0.4252878
8,0.0722804,-1.2241458
9,-3.2256363,1.6288769
6,-0.9759751,-0.4162768
7,-2.4531069,-0.0727812
8,1.5407686,-1.0316766
4,-1.5886667,-0.7622637
7,-0.5563592,0.1883993
5,1.6434983,-0.6195668
9,-2.5491809,1.758892
2,-1.2795393,1.4175508
6,-1.7717975,2.2253656
7,-1.4932223,0.5145058
4,0.3794675,2.0786656
5,-2.4085466,1.5068624
9,-0.2988251,1.1868732
2,-3.2882895,-1.1757253
3,-2.0666671,-0.1395845
1,0.837819,-0.393496
6,-1.3203933,1.5225127
3,1.3086715,1.0949869
9,0.9807207,1.8011389
2,-2.5394234,2.0563338
2,0.0264683,0.0853847
5,-1.819266,-0.5628411
6,0.8543936,-0.2967033
8,-0.4379698,3.2280711
0,-2.3461886,-0.7759189
7,-1.8955459,1.7576969
7,-2.4526778,-1.2418524
1,-2.1072056,-1.042797
9,0.4022468,0.8501666
8,0.1532339,-2.3908275
7,1.1537169,-1.2219142
0,0.0897175,-2.123225
9,-1.6372588,-0.0133443
9,-0.9394878,-1.9011295
4,-1.5769266,0.2151153
6,-0.5410396,-1.7350298
2,0.6503843,3.2649464
8,-0.8647695,0.8341725
5,1.1212051,-0.3162484
1,0.8547613,1.1222488
4,0.8779644,2.8265536
1,1.4570273,-0.6868961
5,0.161806,3.5383258
5,0.2698654,1.658557
1,1.2038418,2.05695
7,-1.7437345,0.1467332
3,-1.4239389,0.397273
6,1.0223472,1.9270382
4,-2.4465075,2.0744964
3,-2.248528,2.0459981
2,-3.2537143,-0.4997483
5,1.1631524,1.9564913
6,-0.9070227,0.7186926
4,-2.7075139,1.85267
4,-1.7089576,-1.6864439
0,-3.447739,-0.3987191
4,0.2442558,3.5965752
4,-0.9469719,2.8543036
6,-1.9165652,0.0483541
7,-2.3835907,2.3222975
2,1.0246354,-1.0693084
4,-1.5819566,1.3414969
3,-1.0088235,-0.3464543
3,-1.8081778,0.2989258
8,-0.2149014,0.9853744
0,1.1127223,-0.5495468
0,-0.208319,0.4342145
3,-1.9155569,2.0184417
2,1.1764529,2.2390985
2,1.1376588,-0.2041553
9,-1.9053813,1.0550674
8,0.197564,-2.4457528
2,-3.3536193,1.3151412
3,-0.1877553,-2.3347023
7,-0.3023173,-1.7442162
0,-1.5267237,1.1277368
1,1.3785989,-0.668728
1,-1.7875448,1.7665482
0,-0.3703949,1.9195373
2,-3.4222038,-0.1307186
3,1.1206321,0.347014
3,-2.3751644,-0.0292408
8,1.0768625,1.9403383
4,-3.1124646,1.1747889
3,1.1431731,-0.0472405
5,-2.0008677,-0.5567352
7,1.8043177,0.3207875
6,-3.4375331,-0.4115461
4,0.7594448,-1.0751668
7,-2.4087236,1.7124717
7,1.2063011,2.0639259
8,-3.1314754,1.0237624
5,1.3789423,-1.453435
9,-1.4430905,1.987084
7,0.7105521,1.0407517
0,-0.6883143,1.1839183
3,-2.834312,1.7826587
1,-0.2523806,1.4383986
6,-3.1268666,-1.4633702
2,-3.1675124,1.7669347
4,0.909438,1.5213368
3,-0.1288545,-1.3075439
4,0.1351419,1.8229956
4,-1.1993619,2.4231543
7,0.4641386,-0.0980362
5,0.3120952,-2.3248155
9,-1.9652862,2.2125531
6,-0.6510952,-0.227109
9,0.141634,3.6049769
0,-1.7817813,-0.0083156
7,1.0973152,0.1907445
1,-2.4194235,2.0911445
4,-0.024782,-2.2201565
2,0.7185608,-1.2776036
7,0.2485785,3.4663129
3,-2.5892184,1.1135115
6,0.5488964,-2.2510008
7,1.273141,1.0819076
5,1.2478604,-0.3445146
8,-0.0848123,1.5483966
4,0.0731252,3.6576131
5,1.3832255,0.5850097
5,-0.1652026,-1.1749939
2,0.4923758,1.932702
7,0.9285455,1.4375495
1,-0.8288862,-0.2932023
1,1.2081456,2.384898
5,-0.2569517,0.6353627
6,-1.0130471,0.6182961
8,-2.7097865,-1.4114175
5,0.0568766,-1.1896337
8,1.2103103,0.2143629
4,1.1155344,2.0359158
0,1.1358081,-1.3165963
7,-0.2659109,2.1444949
9,0.0674439,1.3395417
9,1.6553051,0.1385294
2,-3.5793233,0.1718915
9,0.4086757,1.2460192
7,1.08371,-1.6205612
7,1.0308633,-1.2167754
8,-3.1076869,1.2466597
7,1.0268607,0.6635575
4,-0.3138288,0.6492533
2,-2.8280785,-0.3115935
6,0.4825475,-2.2311037
9,-2.630799,-0.7378459
1,0.7244568,3.2080172
