x,y,cluster
-0.0332405,-5.32865,4
2.04983,2.788,3
2.40354,-1.50881,7
-2.02962,0.926646,5
-1.98395,0.954383,5
-0.712756,-4.67487,4
3.58981,2.99009,2
3.87113,0.270931,2
1.02843,-1.58201,6
0.582385,-4.79014,4
-1.1657,-4.41132,4
0.968975,-1.55441,7
3.63739,-0.136887,2
3.39598,1.1972,3
-1.30104,-5.35229,4
-0.0892269,6.93631,12
0.967112,-4.72133,4
-0.163565,-4.89805,4
-0.263958,-4.37151,7
-1.18568,-5.72939,4
-0.888057,6.12841,12
0.063743,-3.6735,4
-1.42356,-4.80691,4
2.82576,1.32026,2
0.788987,-5.13089,4
0.825365,-1.95448,4
-0.135032,-3.83065,7
4.13918,-4.27157,1
-1.08959,-4.91145,4
-1.03663,-4.28039,4
0.435255,5.67542,8
-0.426168,6.7061,12
3.29311,2.5748,3
-0.617364,5.1199,8
3.36057,2.59904,2
-0.519938,5.52429,5
-1.11832,7.38258,8
0.667113,-3.4413,7
3.71145,-3.07821,1
-1.72293,2.84139,11
-0.135041,-3.61706,4
1.00449,-3.14974,7
4.11248,-4.01829,1
0.890469,-4.90348,7
1.52572,-1.20345,7
-1.7431,1.5887,5
-0.679797,1.26262,5
3.71984,-2.37561,1
3.66976,0.237088,2
3.86697,1.95953,2
0.554753,-4.17305,4
3.71409,-2.31155,1
4.33326,1.05398,2
0.067901,-5.64893,4
2.967,1.87088,2
-0.157318,-4.05183,4
4.62879,-3.29736,1
5.02457,-3.3161,1
-0.687104,7.2844,12
-0.307944,7.11112,12
2.83752,4.02546,8
-1.21889,-5.39654,4
-0.333112,-3.61131,4
-0.131722,-4.4679,4
-0.914381,1.55516,5
-0.337565,7.09192,12
-0.598188,7.55507,12
3.80769,-2.82395,1
2.49225,0.533457,6
4.51115,1.35245,2
3.29439,2.63883,3
0.975841,-2.08571,7
1.25542,1.72789,8
0.0386123,-3.43646,7
-0.205483,-4.56663,7
5.05289,-3.94658,1
-0.799687,-3.22448,4
-1.59239,7.11235,12
3.21976,1.16089,2
0.252425,-5.19748,7
1.08054,-1.82545,4
-1.77316,3.20996,13
-1.085,-5.3546,7
2.31153,2.62074,10
3.52502,-0.260341,3
-2.03235,2.49231,13
2.91791,0.795589,2
3.28805,0.836606,2
-1.06234,5.84074,12
3.547,1.4383,2
-3.60098,3.9497,11
2.47197,3.53845,3
1.91132,4.73338,10
4.51834,-4.3116,1
-3.13709,3.88099,10
-3.41018,4.68064,11
-3.21588,3.91189,11
3.23656,2.85773,3
2.35165,2.32238,2
-3.01632,3.52895,11
-1.57568,6.73794,12
-1.1323,2.36478,2
-2.21125,2.37635,11
-3.99155,1.92082,11
-3.34658,2.97672,11
-3.95978,1.91579,11
-1.28578,2.78982,5
-0.931583,6.18104,9
-3.15597,4.35532,11
-1.04134,3.08733,5
1.29709,5.42622,8
1.96645,4.02409,10
1.0931,6.16251,8
-1.84995,2.85799,13
-0.396763,6.81599,8
1.46761,4.12633,10
1.16868,4.23665,10
0.9607,6.62245,9
1.47687,5.81784,12
0.927134,5.01004,10
1.62346,5.1753,8
1.1589,5.17746,8
1.57395,4.72076,8
1.25236,4.66844,10
3.46749,-0.392681,2
0.757184,6.35792,8
1.83338,5.17993,9
2.96731,-0.853421,3
-0.693047,1.18908,3
2.65779,2.40851,10
0.609311,6.14808,12
1.47452,4.42811,10
3.11288,3.13739,2
3.3542,0.5896,3
0.0466209,-3.5784,7
1.75596,-1.65363,7
0.774781,-4.62322,7
-0.45611,-5.45074,4
3.65457,0.856326,3
-0.410268,-5.06803,4
2.38762,-1.13059,7
4.24216,0.916243,3
2.89687,-1.09121,7
1.00786,-2.26205,4
3.31943,3.41403,2
1.76049,3.1706,10
4.17169,0.383948,2
0.20755,-4.13034,4
3.94067,2.32555,3
-0.428884,-6.00364,4
-0.471656,-6.03328,4
-0.369449,-5.38671,4
-0.237551,-5.73931,4
0.373644,5.37003,9
4.15692,0.569869,2
-1.09879,-3.93127,4
-1.19312,-4.18846,4
-0.447453,-5.91532,4
2.49584,-1.45714,7
0.562313,-4.95005,7
1.59215,3.13871,10
2.79508,-0.604771,3
0.466434,-5.01652,4
1.08581,-3.17152,7
0.665132,-5.51306,4
-1.25176,-5.43008,7
0.5771,6.3318,12
1.75535,3.57401,8
1.01176,-2.13667,6
-1.30092,-5.26258,4
3.41414,2.87541,2
2.29082,3.66785,8
1.09376,-3.94058,7
0.600776,-2.88773,4
-0.266519,2.94695,5
-1.31224,2.26081,5
0.432711,5.94666,9
0.723412,-5.42819,4
-1.25682,5.93515,8
1.06987,-1.86495,4
0.873415,-1.99739,6
4.89357,-3.06093,1
0.0766375,-5.33634,7
-0.179397,6.45192,8
4.40018,-3.12965,1
4.69605,-3.10337,1
3.89905,-3.2726,1
0.889341,4.12917,8
4.55463,-3.19945,1
0.936977,-2.50875,7
-1.58302,0.843652,5
3.17095,1.52935,2
4.28933,-4.37443,1
-0.185581,-2.83354,7
-0.370925,0.878698,4
0.0366201,-3.3836,4
5.46009,-3.54685,1
4.26884,-4.19924,1
3.38133,0.480176,2
-0.281023,-5.02855,7
3.74138,-3.52624,2
4.16155,-3.42939,1
3.5689,1.09677,2
2.76115,2.88857,8
-1.89379,2.85863,13
-0.876831,-4.77334,4
3.84739,-3.70594,1
3.84854,0.0565137,3
3.29212,0.100694,3
-1.77581,2.28067,2
4.30959,2.11688,3
-0.990709,-4.36065,4
1.09373,-2.48273,1
4.54268,-3.03445,1
0.941875,-2.03598,4
2.51855,1.5089,2
3.00469,1.78822,3
3.76179,0.315334,2
2.70703,0.500102,2
-0.913509,-3.99728,4
5.17433,-3.76702,1
-1.71645,7.10902,12
2.21487,3.91597,8
4.56109,-3.29724,1
3.06114,1.56926,2
4.678,-3.23005,1
0.491742,-3.83446,4
-0.291934,-2.80918,7
-0.920368,4.77171,8
3.24979,2.55378,3
1.57459,5.12969,8
-2.038,3.14923,13
-0.605544,4.45766,5
-0.583269,1.87743,5
1.19522,-1.86599,6
5.16183,-3.95288,1
-0.626487,4.66261,5
3.47198,1.71395,2
-1.64183,1.44832,5
-1.55268,4.24238,13
-3.11895,5.09954,11
0.0452794,4.3824,8
3.815,0.580598,2
0.121681,6.96626,8
1.8524,4.6962,10
3.41073,-0.10712,3
1.30372,6.4363,12
-2.02745,6.4072,12
3.29719,2.35361,2
-1.82891,2.67823,11
2.64885,4.14624,9
-0.336534,5.67847,8
-1.22798,4.01528,11
-3.97987,2.34807,11
-3.02973,3.64629,11
-3.92631,1.94735,11
-4.02661,1.98083,11
-3.98277,1.88976,11
-3.96468,1.92457,11
-3.88131,2.75358,11
-1.748,7.15543,12
-4.13173,3.40271,11
-3.98647,3.62947,11
-0.345976,4.21136,8
-1.20085,3.45153,11
-1.36629,2.40983,11
-1.85818,6.94604,12
0.157458,5.11519,8
-1.4503,1.73971,5
1.47754,4.87635,9
-0.748178,7.06487,9
-0.891606,2.36765,10
1.82484,4.22987,10
1.34594,6.71771,9
1.45168,1.79785,8
1.79935,4.03651,10
-0.0982098,4.50702,8
1.61195,5.62656,8
1.65885,5.79078,10
1.36655,6.1633,8
1.13506,7.08604,9
-0.712054,7.39019,12
1.38288,6.42097,12
1.24505,4.51589,10
1.91977,0.659157,8
1.24868,3.8864,10
-0.069564,7.3803,12
-0.153541,7.10493,12
0.878018,5.17871,10
1.2088,4.54759,10
0.615927,5.37889,10
1.50627,6.4076,12
3.10537,1.02976,3
3.48367,0.569548,2
0.47012,6.17746,12
2.60172,1.31701,3
1.1877,2.35228,10
4.41169,1.28733,2
3.61458,0.0781569,2
0.615245,-4.60702,7
0.608065,-4.63073,4
4.29655,2.04028,2
-0.0964743,7.32195,12
2.34346,4.84414,8
-0.258412,1.35802,5
-0.548151,-5.90904,4
2.38743,0.421697,3
-0.723569,-2.6037,5
-1.19277,1.24158,5
2.19538,2.38322,3
3.89824,0.471705,3
-0.654422,-4.84938,4
5.54435,4.83625,11
2.76908,-0.563994,7
-0.0813855,-5.57645,4
-0.215609,-6.04448,4
0.696401,5.76015,9
-2.29309,2.96129,13
0.533004,-4.23496,7
0.0366565,-3.19327,4
0.718669,-5.219,4
-0.53381,-5.83128,4
0.507282,-4.08206,4
0.31157,-5.01345,7
-0.755406,-3.65816,4
3.58311,2.72785,2
0.485997,-4.24371,7
0.825356,-5.2418,7
-1.38508,-4.58013,4
-1.33015,-5.41407,4
-0.166721,-3.8292,4
-1.34546,-5.37211,4
-0.590002,-5.38214,7
1.06594,5.31688,10
-1.26665,-5.4244,4
-0.647149,-3.19034,4
-0.591593,-5.28506,4
0.145784,-4.96289,7
-0.016231,5.64068,8
-0.0444796,5.7641,8
-0.511542,-3.29839,4
0.695299,-1.9179,7
-1.28275,-5.63785,7
0.9785,-4.18218,4
-0.457766,-6.11884,4
-0.374831,4.82613,8
-0.325531,-5.93922,4
-0.600317,6.75868,12
-1.44625,-5.46574,4
0.537384,6.21095,8
0.269708,-3.18997,7
-0.905373,-4.55844,7
-0.949001,6.49654,9
-1.26538,-4.60158,4
5.54312,-3.63442,1
0.0635923,-3.91075,7
-1.2031,7.08685,12
-1.41346,5.37111,8
1.27149,-2.0773,6
4.0906,-3.09244,1
-0.725462,2.78966,8
2.7091,1.11633,2
-0.0536877,1.76978,2
3.52488,-3.29072,2
-2.25148,2.60808,13
-1.57491,6.93216,12
-0.592978,-2.99595,4
-1.54561,1.62782,5
-1.53519,-5.40439,4
3.79425,-3.71663,5
-1.3691,6.54854,9
-0.0395903,-3.84111,4
0.674422,-4.13548,7
4.44338,1.6824,2
3.10877,2.65499,2
1.5731,4.73172,8
-0.44983,6.05854,8
1.68905,2.70857,6
3.75714,-3.71474,1
-0.304975,6.74048,12
0.863663,-5.11035,4
5.18566,-3.66496,1
2.68021,-0.548902,3
-0.489821,1.08157,5
3.19046,-0.550799,3
0.774951,-3.83581,4
4.90155,-3.26928,1
1.26684,7.152,12
-0.653699,6.5078,8
0.572685,6.83507,8
0.197812,-4.67556,4
0.384028,-5.34926,4
5.49548,-3.76718,1
-2.13228,3.00644,13
1.3397,4.81933,10
0.00240851,-2.70965,7
-0.952468,1.2688,5
-0.372333,7.10326,12
1.05324,1.74881,8
2.78657,1.56547,2
0.922774,-2.7031,7
-0.949777,4.94055,5
2.90496,0.221975,2
3.38849,1.56642,3
-1.82323,1.88097,5
3.21891,1.57045,3
1.24944,5.39222,10
3.03685,1.54137,2
-0.987707,4.25288,8
-2.14335,6.21641,8
-1.57003,6.50103,8
-0.593363,5.69278,8
5.05853,-4.11037,1
-1.92582,6.26044,12
3.3434,3.13205,2
3.4569,3.05148,2
-1.8389,2.8737,13
-1.63789,6.94356,8
-1.11476,1.41235,5
-1.65521,1.63356,5
2.48607,0.34451,3
-1.20541,6.01902,12
-1.64345,7.07622,9
-1.45333,7.25917,12
-3.97725,1.91497,11
-2.01156,6.21907,12
-0.103239,6.80863,12
-1.62457,6.81157,9
0.475328,4.54832,9
0.11777,3.28006,10
1.17291,4.31569,10
-2.83456,4.52316,11
-1.11964,6.68452,9
-0.950915,3.98973,9
0.765674,5.75455,10
1.01161,5.56025,10
1.41655,4.44876,10
1.07159,6.78309,12
0.365956,7.67995,12
1.60586,4.75371,10
0.957692,6.82159,9
4.43453,1.36979,2
-0.160767,7.21268,12
0.240033,7.68205,12
2.87517,1.26363,2
-0.303537,7.31396,12
-1.94798,1.06451,5
-0.509519,7.15161,9
2.30263,3.60734,8
3.441,1.36878,3
1.68962,4.33736,8
1.61668,5.03521,10
2.18815,4.81547,10
4.2168,1.50149,2
0.0368379,7.0288,12
1.20913,6.6053,8
1.16727,7.1943,12
2.77331,-0.743587,7
-0.73957,4.92687,9
0.582167,-4.06026,7
-1.7472,1.10567,5
1.14829,7.00711,9
1.5115,4.3057,8
-0.359993,5.72069,9
3.91619,1.35885,3
3.55635,1.9404,2
-0.429439,-5.32049,4
3.3119,-0.158209,2
0.307836,7.5134,12
3.51391,-0.152798,2
-1.20275,7.74519,9
0.404928,-4.12194,4
0.0353288,-5.82925,7
0.821852,-3.83736,7
0.347739,-4.03652,4
-0.122233,-5.16607,4
-0.168574,-2.84166,4
-0.162436,-4.90461,4
1.26607,5.68545,9
0.0318508,-5.60739,4
-1.79081,1.52837,5
3.52631,0.730702,2
-0.564291,2.08083,5
0.93234,-3.08367,4
2.11594,4.50163,8
1.08934,-2.24756,7
1.56643,5.18123,10
0.910422,-4.15683,7
-1.32692,-5.18353,4
-0.763182,-4.72187,4
-0.875408,-4.90375,7
1.04414,2.77875,3
-1.28931,-4.48661,4
-0.0989577,-3.34549,4
-0.210128,-6.0823,7
-1.83834,2.1147,5
1.24589,4.205,11
1.33998,-1.00633,6
0.0315551,-4.68438,4
-0.685071,7.6211,12
-0.634387,-3.74631,4
1.4781,6.567,8
0.132412,6.91354,11
1.55503,2.15902,6
-0.943413,-4.18704,4
-0.432138,-4.6075,4
1.29617,-2.78176,3
-1.75971,7.16021,8
-1.85645,2.68685,11
0.768004,-5.17389,4
3.84066,-3.07944,1
3.91494,1.03247,2
-0.691304,-4.76305,4
-1.04239,-5.37586,4
0.255338,-2.91158,4
0.412857,-2.5814,4
-0.60257,6.88781,12
-0.143328,-2.78057,7
-0.128235,-5.64709,4
-0.514505,-5.73242,7
0.609564,-3.69835,7
3.64203,-2.16633,7
1.44353,-0.367074,3
3.38846,2.10393,2
-1.87884,3.28124,13
-1.95427,3.25192,13
-1.07764,-4.85858,4
-1.21424,2.8489,7
4.24658,-4.13564,1
0.796251,5.77285,12
2.15944,-1.61746,7
-0.196695,5.78022,8
0.261558,-4.51222,4
-0.0647273,-4.13581,4
2.94713,4.04114,8
1.21168,5.37658,8
3.48709,0.210356,2
0.148111,6.49453,12
4.25401,1.78134,2
1.65852,2.08735,6
3.25118,-0.114933,2
-1.54446,7.5488,12
-0.49428,2.11405,10
0.986374,-4.13764,4
3.55098,-2.88355,1
-1.44018,7.0236,12
-1.4711,0.493361,5
0.589418,-3.55856,7
0.505526,-4.90634,4
4.21762,-4.0821,1
-0.905732,-4.16463,4
3.42551,0.315486,3
-1.30248,6.63463,12
4.63248,-3.2971,1
-1.94211,3.03004,13
3.4876,-2.84782,1
5.18349,-3.79281,1
-0.944371,4.8897,9
0.729087,-4.09512,4
0.406366,-3.76258,4
-0.87259,-4.85175,4
1.46702,3.38249,10
3.7604,1.73441,2
4.75016,-4.12852,1
-1.60048,0.725726,9
-0.275317,4.26777,8
-1.60737,1.65185,5
-1.48312,2.20758,13
1.32125,-1.83774,7
-3.16246,3.93908,11
-1.60846,6.39547,8
2.99443,1.82132,2
-2.87949,4.8152,10
-1.40535,1.65318,5
3.85055,0.600634,2
3.06497,0.439029,3
-3.0744,4.70274,11
4.54509,-4.29069,1
-3.18024,4.17836,11
3.7143,1.40521,2
-4.04302,3.28936,11
-1.35063,1.58586,5
-3.70402,3.65108,11
-1.71971,6.44355,12
-3.71428,3.78571,11
-3.99578,2.12129,11
-2.87593,2.97274,11
-0.272206,4.70837,8
-0.0857601,7.21841,12
-3.9803,1.96818,11
-4.02973,2.17001,11
-1.75658,7.09849,12
-0.0262275,6.19615,9
-1.40265,5.87854,12
-3.99953,2.10946,11
-0.938072,5.0342,9
0.158701,4.15547,10
-1.60347,6.28476,12
1.23785,5.45379,9
0.866658,6.09626,12
-2.94524,4.01446,10
-0.282248,4.18576,5
0.152833,7.17163,12
-2.92484,3.72274,11
-3.26941,4.23398,11
0.956834,5.83342,8
2.59877,-1.47505,3
0.993172,4.48089,8
1.31652,6.48509,12
1.5189,2.40948,8
0.723758,6.7603,12
1.82459,5.05225,10
1.00904,6.77775,12
-0.137955,3.85875,10
2.32913,0.044722,3
2.83901,2.92524,3
1.71813,4.85886,10
1.66102,6.27524,9
3.13901,0.926419,3
0.935736,5.90043,10
2.02453,0.563798,2
1.71924,4.67868,10
3.85874,2.26756,2
2.61869,1.16317,3
0.996209,-3.82529,7
2.81937,-0.257428,3
3.71086,1.82802,2
2.9703,0.777765,3
-0.396836,7.54129,8
3.1263,0.0855468,3
-0.0696461,-4.80216,4
0.0910474,-5.81138,7
-0.466944,-5.52332,4
3.72913,0.928657,2
2.29636,1.16087,5
2.11599,1.98289,2
-1.4717,7.26899,12
-0.673944,1.3638,5
-0.326666,-5.33669,4
0.944683,-1.66659,6
-2.31976,2.92686,13
-0.600973,-5.3067,4
4.00414,2.12262,2
1.11414,6.73341,12
0.0397607,5.30327,8
3.66481,0.182525,3
-1.21819,-4.27663,7
4.13914,1.08264,2
-0.799831,1.8936,5
-0.75822,-3.99403,4
-0.950338,-5.42724,7
0.848229,-3.57564,4
-1.55855,-4.64002,4
-1.46568,6.27384,8
-1.33413,1.87031,5
-0.307449,2.5555,5
0.156127,-3.70113,4
-0.443178,-4.36104,4
-0.971575,-3.51805,4
1.22709,-1.79476,7
1.12772,-2.00023,7
4.69635,-3.00544,1
4.96057,-3.36445,1
-0.417757,-6.16031,7
0.0914948,-5.91281,7
0.123263,-4.21466,7
1.3866,1.27991,8
3.02472,1.73436,2
0.162886,-5.26805,4
1.15971,5.29293,8
-2.05404,3.0686,13
0.361004,5.92927,8
2.80927,-1.49259,3
5.07499,-3.70656,1
-0.295635,4.93093,8
2.91729,2.57904,2
-1.62387,1.62078,5
-0.471558,2.29175,5
-1.02733,-4.58066,4
-0.0600037,-4.25765,7
-1.80478,1.85917,5
1.97604,1.74347,7
-1.37921,7.5718,12
4.30624,-3.56421,1
2.09933,-1.66163,7
0.574298,5.80099,8
4.57819,-3.55928,1
0.865477,4.54347,8
-1.75473,2.14389,5
-0.201206,6.92798,8
-0.349067,-3.2923,7
-0.525657,-3.34968,4
2.26865,-1.13083,2
-0.548409,-4.19394,4
5.29516,-3.49422,1
-1.48731,6.5617,9
-0.949588,-5.18234,4
-1.00646,-4.95736,4
-2.08249,3.13106,13
4.8676,-3.16282,1
1.8338,4.41679,8
-1.67884,7.45651,12
2.21654,0.585981,8
0.638806,-5.06853,4
5.10065,-3.844,1
3.05285,2.88359,2
1.35585,-1.7961,7
-0.720647,1.46065,5
-0.911664,1.92462,5
-1.78211,7.11917,12
-1.20576,1.60774,5
-0.411239,-5.34792,4
0.512373,-4.27708,7
4.98664,-3.19262,1
-0.358654,7.47012,9
5.32584,-3.64132,1
0.80325,-4.06245,7
0.543234,6.25046,12
0.859526,4.99748,8
-0.308618,4.302,8
-0.303585,7.19936,9
0.936315,5.62895,8
1.27593,5.05703,8
3.17922,0.55476,2
-2.30725,6.07692,8
0.160129,2.69326,5
-2.97326,5.312,11
0.171395,3.24026,8
3.51458,2.51244,2
-3.21209,4.88145,11
0.97068,4.6277,10
-0.642569,5.52324,9
-1.90389,1.64601,5
-2.99881,5.04671,11
-4.05812,2.04432,11
-3.17556,3.12727,11
-1.65436,6.32632,8
-1.40623,6.51265,9
0.920329,4.65262,10
-1.51445,6.24259,8
-1.40204,1.28334,11
-2.45483,5.35733,9
-2.99548,4.85872,11
-1.98124,5.01903,8
-1.1049,7.02002,9
0.717419,3.99171,10
-0.163614,5.37605,9
-0.214023,5.64367,9
1.25304,6.95401,9
0.555822,6.7192,12
1.11394,6.82071,9
1.30841,6.80364,12
0.807784,4.19908,10
1.70857,5.11285,10
1.09064,4.49205,10
0.895053,4.43228,10
-0.807899,4.49135,5
2.03743,4.23648,8
1.40169,1.94376,8
0.507892,5.48929,12
0.754595,4.36998,10
1.1876,6.83636,12
1.19424,1.67339,8
1.6194,4.88091,10
-0.384625,7.49747,12
0.195673,7.46676,12
-0.130979,5.70735,9
0.879775,6.86133,9
1.32193,4.19201,10
1.78085,4.11501,10
0.931715,6.97487,12
1.33718,5.27527,10
0.0723351,1.73344,5
0.352426,6.81001,9
4.3509,0.964051,2
2.18858,4.87644,8
2.70513,3.60555,10
0.0438862,6.61467,8
1.3167,1.40676,6
0.967228,-3.6733,7
-0.538695,-4.02562,4
3.58374,1.5324,2
1.65976,4.02429,8
1.02152,6.45506,9
-0.184217,5.07267,8
0.181779,-5.34331,4
1.39355,2.06649,8
-0.154825,-4.95573,4
0.486054,-3.82426,7
2.31047,3.83198,10
-0.423244,-5.49611,4
-0.143572,-5.59597,4
5.57933,4.86024,11
1.42391,6.23271,9
1.2909,1.13846,6
0.175114,-4.57223,4
0.416222,5.30786,10
-0.681528,-3.34786,4
-0.110661,-5.39581,4
1.2813,0.682299,4
0.593489,4.0729,10
-0.294292,-3.61719,4
-1.17752,-4.96035,4
2.46541,-1.18962,7
-1.62475,7.50102,9
-0.490216,-5.91676,7
0.237572,-1.71463,4
-0.583357,-5.81653,7
0.557082,-4.79823,7
3.88774,1.75546,2
1.65212,2.52581,8
-0.256824,7.46121,9
-1.30048,-5.18401,4
3.14202,0.103652,2
0.438095,-5.47912,7
0.953613,-1.88525,4
-0.787968,-2.76204,4
-0.351354,-4.38035,4
-1.18716,7.43265,12
0.129515,-5.32689,4
0.705917,-1.75178,6
3.55446,2.92406,2
-3.03982,3.92963,11
3.22115,2.23156,2
2.55598,-1.08214,3
-0.410405,-3.80229,4
-0.382188,-4.42995,4
-0.218037,6.85581,12
3.07952,2.03792,3
0.332535,-2.46088,4
-0.648902,-4.06973,7
0.932179,-3.28399,7
0.116912,7.25008,12
-0.668609,-4.03966,4
0.842946,6.62703,12
-1.28656,-4.6277,4
-0.0695474,5.51184,12
-1.26431,-5.23609,4
1.33122,6.36838,8
0.880946,7.10078,12
0.304007,-2.85925,7
1.86249,3.2199,6
-0.829422,-5.78165,4
-0.332983,-4.36537,4
3.95161,-2.52412,1
-0.418193,0.861119,4
1.20885,-2.07247,7
1.233,-3.39844,7
-1.14893,3.21556,8
-1.98667,2.24263,13
0.0303619,-3.76812,4
4.86011,-3.19674,1
4.16058,-4.35278,1
-1.54843,0.760111,5
-1.71943,2.62428,13
5.44743,-3.44595,1
4.23562,-4.2419,1
-0.586297,-5.70244,7
3.98963,-3.32499,1
0.313702,5.95302,8
5.62684,-3.53726,1
-0.56514,-4.68392,7
0.695567,-5.31684,7
4.83243,-2.92836,1
-1.0758,-4.81918,4
0.839269,-3.84736,4
3.82785,-2.77477,1
4.47259,-2.98502,1
0.108658,-4.14674,4
-0.301482,-3.87858,4
5.1637,-3.62757,1
-1.13357,-4.44667,4
5.37286,-3.61655,1
4.77703,-3.21018,1
4.43442,1.56943,2
4.19557,2.02017,2
2.71027,0.355935,2
-0.509955,1.11705,5
-2.07479,2.86895,13
-0.589518,1.18094,5
4.56289,-3.08835,1
3.21045,2.68593,2
4.02323,-2.56997,2
4.2141,1.72895,3
1.63508,3.29333,8
5.15837,-3.38494,1
5.1188,-3.85721,1
-1.56681,7.27235,12
4.60542,-3.56542,1
4.94017,-3.25135,1
-1.41566,7.62579,9
4.85522,-3.90031,1
-0.109219,6.93771,12
-1.65908,7.32966,9
0.0789988,-4.86514,7
2.75721,-0.553054,3
3.12913,0.738104,3
