,x,y,z
0.840000000000001, 1.0000000, 15.7680000, 0.0533333
0.852000000000001, 1.0000000, 15.9760000, 0.0400000
0.864000000000001, 1.0000000, 16.1840000, 0.0266667
0.876000000000001, 1.0000000, 16.3920000, 0.0133333
0.888000000000001, 1.0000000, 16.6000000, 0.0000000
0.900000000000001, 1.0000000, 16.8080000,-0.0133333
0.912000000000001, 1.0000000, 17.0160000,-0.0266667
0.924000000000001, 1.0000000, 17.2240000,-0.0400000
0.936000000000001, 1.0000000, 17.4320000,-0.0533333
0.948000000000001, 1.0000000, 17.6400000,-0.0666667
0.960000000000001, 1.0000000, 17.8480000,-0.0800000
0.972000000000001, 1.0000000, 18.0560000,-0.0933333
0.984000000000001, 1.0000000, 18.2640000,-0.1066667
0.996000000000001, 1.0000000, 18.4720000,-0.1200000
1.008, 1.0000000, 18.6800000,-0.1333333
1.02, 1.0000000, 18.8880000,-0.1466667
1.032, 1.0000000, 19.0960000,-0.1600000
1.044, 1.0000000, 19.3040000,-0.1733333
1.056, 1.0000000, 19.5120000,-0.1866667
1.068, 1.0000000, 19.7200000,-0.2000000
1.08, 1.0000000, 19.9280000,-0.2133333
1.092, 1.0000000, 20.1360000,-0.2266667
1.104, 1.0000000, 20.3440000,-0.2400000
1.116, 1.0000000, 20.5520000,-0.2533333
1.128, 1.0000000, 20.7600000,-0.2666667
1.14, 1.0000000, 20.9680000,-0.2800000
1.152, 1.0000000, 21.1760000,-0.2933333
1.164, 1.0000000, 21.3840000,-0.3066667
1.176, 1.0000000, 21.5920000,-0.3200000
1.188, 1.0000000, 21.8000000,-0.3333333
1.2, 1.0000000, 22.0080000,-0.3466667
1.212, 1.0000000, 22.2160000,-0.3600000
1.224, 1.0000000, 22.4240000,-0.3733333
1.236, 1.0000000, 22.6320000,-0.3866667
1.248, 1.0000000, 22.8400000,-0.4000000
1.26, 1.0000000, 23.0480000,-0.4133333
1.272, 1.0000000, 23.2560000,-0.4266667
1.284, 1.0000000, 23.4640000,-0.4400000
1.296, 1.0000000, 23.6720000,-0.4533333
1.308, 1.0000000, 23.8800000,-0.4666667
1.32, 1.0000000, 24.0880000,-0.4800000
1.332, 1.0000000, 24.2960000,-0.4933333
1.344, 1.0000000, 24.5040000,-0.5066667
1.356, 1.0000000, 24.7120000,-0.5200000
1.368, 1.0000000, 24.9200000,-0.5333333
1.38, 1.0000000, 25.1280000,-0.5466667
1.392, 1.0000000, 25.3360000,-0.5600000
1.404, 1.0000000, 25.5440000,-0.5733333
1.416, 1.0000000, 25.7520000,-0.5866667
1.428, 1.0000000, 25.9600000,-0.6000000
1.44, 1.0000000, 26.1680000,-0.6133333
1.452, 1.0000000, 26.3760000,-0.6266667
1.464, 1.0000000, 26.5840000,-0.6400000
1.476, 1.0000000, 26.7920000,-0.6533333
1.488, 1.0000000, 27.0000000,-0.6666667
1.5, 1.0000000, 27.2080000,-0.6800000
1.512, 1.0000000, 27.4160000,-0.6933333
1.524, 1.0000000, 27.6240000,-0.7066667
1.536, 1.0000000, 27.8320000,-0.7200000
1.548, 1.0000000, 28.0400000,-0.7333333
1.56, 1.0000000, 28.2480000,-0.7466667
1.572, 1.0000000, 28.4560000,-0.7600000
1.584, 1.0000000, 28.6640000,-0.7733333
1.596, 1.0000000, 28.8720000,-0.7866667
1.608, 1.0000000, 29.0800000,-0.8000000
1.62, 1.0000000, 29.2880000,-0.8133333
1.632, 1.0000000, 29.4960000,-0.8266667
1.644, 1.0000000, 29.7040000,-0.8400000
1.656, 1.0000000, 29.9120000,-0.8533333
1.668, 1.0000000, 30.1200000,-0.8666667
1.68, 1.0000000, 30.3280000,-0.8800000
1.692, 1.0000000, 30.5360000,-0.8933333
1.704, 1.0000000, 30.7440000,-0.9066667
1.716, 1.0000000, 30.9520000,-0.9200000
1.728, 1.0000000, 31.1600000,-0.9333333
1.74, 1.0000000, 31.3680000,-0.9466667
1.752, 1.0000000, 31.5760000,-0.9600000
1.764, 1.0000000, 31.7840000,-0.9733333
1.776, 1.0000000, 31.9920000,-0.9866667
1.788, 1.0000000, 32.2000000,-1.0000000
1.8, 1.0000000, 32.4080000,-1.0133333
1.812, 1.0000000, 32.6160000,-1.0266667
1.824, 1.0000000, 32.8240000,-1.0400000
1.836, 1.0000000, 33.0320000,-1.0533333
1.848, 1.0000000, 33.2400000,-1.0666667
1.86, 1.0000000, 33.4480000,-1.0800000
1.872, 1.0000000, 33.6560000,-1.0933333
1.884, 1.0000000, 33.8640000,-1.1066667
1.896, 1.0000000, 34.0720000,-1.1200000
1.908, 1.0000000, 34.2800000,-1.1333333
1.92, 1.0000000, 34.4880000,-1.1466667
1.932, 1.0000000, 34.6960000,-1.1600000
1.944, 1.0000000, 34.9040000,-1.1733333
1.956, 1.0000000, 35.1120000,-1.1866667
1.968, 1.0000000, 35.3200000,-1.2000000
1.98, 1.0000000, 35.5280000,-1.2133333
1.992, 1.0000000, 35.7360000,-1.2266667
2.004, 1.0000000, 35.9440000,-1.2400000
2.016, 1.0000000, 36.1520000,-1.2533333
2.028, 1.0000000, 36.3600000,-1.2666667
2.04, 1.0000000, 36.5680000,-1.2800000
2.052, 1.0000000, 36.7760000,-1.2933333
2.064, 1.0000000, 36.9840000,-1.3066667
2.076, 1.0000000, 37.1920000,-1.3200000
2.088, 1.0000000, 37.4000000,-1.3333333
2.1, 1.0000000, 37.6080000,-1.3466667
2.112, 1.0000000, 37.8160000,-1.3600000
2.124, 1.0000000, 38.0240000,-1.3733333
2.136, 1.0000000, 38.2320000,-1.3866667
2.148, 1.0000000, 38.4400000,-1.4000000
2.16, 1.0000000, 38.6480000,-1.4133333
2.172, 1.0000000, 38.8560000,-1.4266667
2.184, 1.0000000, 39.0640000,-1.4400000
2.196, 1.0000000, 39.2720000,-1.4533333
2.208, 1.0000000, 39.4800000,-1.4666667
2.22, 1.0000000, 39.6880000,-1.4800000
2.232, 1.0000000, 39.8960000,-1.4933333
2.244, 1.0000000, 40.1040000,-1.5066667
2.256, 1.0000000, 40.3120000,-1.5200000
2.268, 1.0000000, 40.5200000,-1.5333333
2.28, 1.0000000, 40.7280000,-1.5466667
2.292, 1.0000000, 40.9360000,-1.5600000
2.304, 1.0000000, 41.1440000,-1.5733333
2.316, 1.0000000, 41.3520000,-1.5866667
2.328, 1.0000000, 41.5600000,-1.6000000
2.34, 1.0000000, 41.7680000,-1.6133333
2.352, 1.0000000, 41.9760000,-1.6266667
2.364, 1.0000000, 42.1840000,-1.6400000
2.376, 1.0000000, 42.3920000,-1.6533333
2.388, 1.0000000, 42.6000000,-1.6666667
2.4, 1.0000000, 42.8080000,-1.6800000
2.412, 1.0000000, 43.0160000,-1.6933333
2.424, 1.0000000, 43.2240000,-1.7066667
2.436, 1.0000000, 43.4320000,-1.7200000
2.448, 1.0000000, 43.6400000,-1.7333333
2.46, 1.0000000, 43.8480000,-1.7466667
2.472, 1.0000000, 44.0560000,-1.7600000
2.484, 1.0000000, 44.2640000,-1.7733333
2.496, 1.0000000, 44.4720000,-1.7866667
2.508, 1.0000000, 44.6800000,-1.8000000
2.52, 1.0000000, 44.8880000,-1.8133333
2.532, 1.0000000, 45.0960000,-1.8266667
2.544, 1.0000000, 45.3040000,-1.8400000
2.556, 1.0000000, 45.5120000,-1.8533333
2.568, 1.0000000, 45.7200000,-1.8666667
2.58, 1.0000000, 45.9280000,-1.8800000
2.592, 1.0000000, 46.1360000,-1.8933333
2.604, 1.0000000, 46.3440000,-1.9066667
2.616, 1.0000000, 46.5520000,-1.9200000
2.628, 1.0000000, 46.7600000,-1.9333333
2.64, 1.0000000, 46.9680000,-1.9466667
2.652, 1.0000000, 47.1760000,-1.9600000
2.664, 1.0000000, 47.3840000,-1.9733333
2.676, 1.0000000, 47.5920000,-1.9866667
2.688, 1.0000000, 47.8000000,-2.0000000
2.7, 1.0000000, 48.0080000,-2.0133333
2.712, 1.0000000, 48.2160000,-2.0266667
2.724, 1.0000000, 48.4240000,-2.0400000
2.736, 1.0000000, 48.6320000,-2.0533333
2.748, 1.0000000, 48.8400000,-2.0666667
2.76, 1.0000000, 49.0480000,-2.0800000
2.772, 1.0000000, 49.2560000,-2.0933333
2.784, 1.0000000, 49.4640000,-2.1066667
2.796, 1.0000000, 49.6720000,-2.1200000
2.808, 1.0000000, 49.8800000,-2.1333333
2.82, 1.0000000, 50.0880000,-2.1466667
2.832, 1.0000000, 50.2960000,-2.1600000
2.844, 1.0000000, 50.5040000,-2.1733333
2.856, 1.0000000, 50.7120000,-2.1866667
2.868, 1.0000000, 50.9200000,-2.2000000
2.88, 1.0000000, 51.1280000,-2.2133333
2.892, 1.0000000, 51.3360000,-2.2266667
2.904, 1.0000000, 51.5440000,-2.2400000
2.916, 1.0000000, 51.7520000,-2.2533333
2.928, 1.0000000, 51.9600000,-2.2666667
2.94, 1.0000000, 52.1680000,-2.2800000
2.952, 1.0000000, 52.3760000,-2.2933333
2.964, 1.0000000, 52.5840000,-2.3066667
2.976, 1.0000000, 52.7920000,-2.3200000
2.988, 1.0000000, 53.0000000,-2.3333333
3, 1.0000000, 53.2080000,-2.3466667
3.012, 1.0000000, 53.4160000,-2.3600000
3.024, 1.0000000, 53.6240000,-2.3733333
3.036, 1.0000000, 53.8320000,-2.3866667
3.048, 1.0000000, 54.0400000,-2.4000000
3.06, 1.0000000, 54.2480000,-2.4133333
3.072, 1.0000000, 54.4560000,-2.4266667
3.084, 1.0000000, 54.6640000,-2.4400000
3.096, 1.0000000, 54.8720000,-2.4533333
3.108, 1.0000000, 55.0800000,-2.4666667
3.12, 1.0000000, 55.2880000,-2.4800000
3.132, 1.0000000, 55.4960000,-2.4933333
3.144, 1.0000000, 55.7040000,-2.5066667
3.156, 1.0000000, 55.9120000,-2.5200000
3.168, 1.0000000, 56.1200000,-2.5333333
3.18, 1.0000000, 56.3280000,-2.5466667
3.192, 1.0000000, 56.5360000,-2.5600000
3.204, 1.0000000, 56.7440000,-2.5733333
3.216, 1.0000000, 56.9520000,-2.5866667
3.228, 1.0000000, 57.1600000,-2.6000000
3.24, 1.0000000, 57.3680000,-2.6133333
3.252, 1.0000000, 57.5760000,-2.6266667
3.264, 1.0000000, 57.7840000,-2.6400000
3.276, 1.0000000, 57.9920000,-2.6533333
3.288, 1.0000000, 58.2000000,-2.6666667
3.3, 1.0000000, 58.4080000,-2.6800000
3.312, 1.0000000, 58.6160000,-2.6933333
3.324, 1.0000000, 58.8240000,-2.7066667
3.336, 1.0000000, 59.0320000,-2.7200000
3.348, 1.0000000, 59.2400000,-2.7333333
3.36, 1.0000000, 59.4480000,-2.7466667
3.372, 1.0000000, 59.6560000,-2.7600000
3.384, 1.0000000, 59.8640000,-2.7733333
3.396, 1.0000000, 60.0720000,-2.7866667
3.408, 1.0000000, 60.2800000,-2.8000000
3.42, 1.0000000, 60.4880000,-2.8133333
3.432, 1.0000000, 60.6960000,-2.8266667
3.444, 1.0000000, 60.9040000,-2.8400000
3.456, 1.0000000, 61.1120000,-2.8533333
3.468, 1.0000000, 61.3200000,-2.8666667
3.48, 1.0000000, 61.5280000,-2.8800000
3.492, 1.0000000, 61.7360000,-2.8933333
3.504, 1.0000000, 61.9440000,-2.9066667
3.516, 1.0000000, 62.1520000,-2.9200000
3.528, 1.0000000, 62.3600000,-2.9333333
3.54, 1.0000000, 62.5680000,-2.9466667
3.552, 1.0000000, 62.7760000,-2.9600000
3.564, 1.0000000, 62.9840000,-2.9733333
3.576, 1.0000000, 63.1920000,-2.9866667
3.588, 1.0000000, 63.4000000,-3.0000000
3.6, 1.0000000, 63.6080000,-3.0133333
3.612, 1.0000000, 63.8160000,-3.0266667
3.624, 1.0000000, 64.0240000,-3.0400000
3.636, 1.0000000, 64.2320000,-3.0533333
3.648, 1.0000000, 64.4400000,-3.0666667
3.66, 1.0000000, 64.6480000,-3.0800000
3.672, 1.0000000, 64.8560000,-3.0933333
3.684, 1.0000000, 65.0640000,-3.1066667
3.696, 1.0000000, 65.2720000,-3.1200000
3.708, 1.0000000, 65.4800000,-3.1333333
3.72, 1.0000000, 65.6880000,-3.1466667
3.732, 1.0000000, 65.8960000,-3.1600000
3.744, 1.0000000, 66.1040000,-3.1733333
3.756, 1.0000000, 66.3120000,-3.1866667
3.768, 1.0000000, 66.5200000,-3.2000000
3.78, 1.0000000, 66.7280000,-3.2133333
3.792, 1.0000000, 66.9360000,-3.2266667
3.804, 1.0000000, 67.1440000,-3.2400000
3.816, 1.0000000, 67.3520000,-3.2533333
3.828, 1.0000000, 67.5600000,-3.2666667
3.84, 1.0000000, 67.7680000,-3.2800000
3.852, 1.0000000, 67.9760000,-3.2933333
3.864, 1.0000000, 68.1840000,-3.3066667
3.876, 1.0000000, 68.3920000,-3.3200000
3.888, 1.0000000, 68.6000000,-3.3333333
3.9, 1.0000000, 68.8080000,-3.3466667
3.912, 1.0000000, 69.0160000,-3.3600000
3.924, 1.0000000, 69.2240000,-3.3733333
3.936, 1.0000000, 69.4320000,-3.3866667
3.948, 1.0000000, 69.6400000,-3.4000000
3.96, 1.0000000, 69.8480000,-3.4133333
3.972, 1.0000000, 70.0560000,-3.4266667
3.984, 1.0000000, 70.2640000,-3.4400000
3.996, 1.0000000, 70.4720000,-3.4533333
4.008, 1.0000000, 70.6800000,-3.4666667
4.02, 1.0000000, 70.8880000,-3.4800000
4.032, 1.0000000, 71.0960000,-3.4933333
4.044, 1.0000000, 71.3040000,-3.5066667
4.056, 1.0000000, 71.5120000,-3.5200000
4.068, 1.0000000, 71.7200000,-3.5333333
4.08, 1.0000000, 71.9280000,-3.5466667
4.092, 1.0000000, 72.1360000,-3.5600000
4.104, 1.0000000, 72.3440000,-3.5733333
4.116, 1.0000000, 72.5520000,-3.5866667
4.128, 1.0000000, 72.7600000,-3.6000000
4.14, 1.0000000, 72.9680000,-3.6133333
4.152, 1.0000000, 73.1760000,-3.6266667
4.164, 1.0000000, 73.3840000,-3.6400000
4.176, 1.0000000, 73.5920000,-3.6533333
4.188, 1.0000000, 73.8000000,-3.6666667
4.2, 1.0000000, 74.0080000,-3.6800000
4.212, 1.0000000, 74.2160000,-3.6933333
4.22399999999999, 1.0000000, 74.4240000,-3.7066667
4.23599999999999, 1.0000000, 74.6320000,-3.7200000
4.24799999999999, 1.0000000, 74.8400000,-3.7333333
4.25999999999999, 1.0000000, 75.0480000,-3.7466667
4.27199999999999, 1.0000000, 75.2560000,-3.7600000
4.28399999999999, 1.0000000, 75.4640000,-3.7733333
4.29599999999999, 1.0000000, 75.6720000,-3.7866667
4.30799999999999, 1.0000000, 75.8800000,-3.8000000
4.31999999999999, 1.0000000, 76.0880000,-3.8133333
4.33199999999999, 1.0000000, 76.2960000,-3.8266667
4.34399999999999, 1.0000000, 76.5040000,-3.8400000
4.35599999999999, 1.0000000, 76.7120000,-3.8533333
4.36799999999999, 1.0000000, 76.9200000,-3.8666667
4.37999999999999, 1.0000000, 77.1280000,-3.8800000
4.39199999999999, 1.0000000, 77.3360000,-3.8933333
4.40399999999999, 1.0000000, 77.5440000,-3.9066667
4.41599999999999, 1.0000000, 77.7520000,-3.9200000
4.42799999999999, 1.0000000, 77.9600000,-3.9333333
4.43999999999999, 1.0000000, 78.1680000,-3.9466667
4.45199999999999, 1.0000000, 78.3760000,-3.9600000
4.46399999999999, 1.0000000, 78.5840000,-3.9733333
4.47599999999999, 1.0000000, 78.7920000,-3.9866667
4.48799999999999, 1.0000000, 79.0000000,-4.0000000
4.49999999999998, 1.0000000, 79.2080000,-4.0133333
4.51199999999998, 1.0000000, 79.4160000,-4.0266667
4.52399999999998, 1.0000000, 79.6240000,-4.0400000
4.53599999999998, 1.0000000, 79.8320000,-4.0533333
4.54799999999998, 1.0000000, 80.0400000,-4.0666667
4.55999999999998, 1.0000000, 80.2480000,-4.0800000
4.57199999999998, 1.0000000, 80.4560000,-4.0933333
4.58399999999998, 1.0000000, 80.6640000,-4.1066667
4.59599999999998, 1.0000000, 80.8720000,-4.1200000
4.60799999999998, 1.0000000, 81.0800000,-4.1333333
4.61999999999998, 1.0000000, 81.2880000,-4.1466667
4.63199999999998, 1.0000000, 81.4960000,-4.1600000
4.64399999999998, 1.0000000, 81.7040000,-4.1733333
4.65599999999998, 1.0000000, 81.9120000,-4.1866667
4.66799999999998, 1.0000000, 82.1200000,-4.2000000
4.67999999999998, 1.0000000, 82.3280000,-4.2133333
4.69199999999998, 1.0000000, 82.5360000,-4.2266667
4.70399999999998, 1.0000000, 82.7440000,-4.2400000
4.71599999999998, 1.0000000, 82.9520000,-4.2533333
4.72799999999998, 1.0000000, 83.1600000,-4.2666667
4.73999999999998, 1.0000000, 83.3680000,-4.2800000
4.75199999999998, 1.0000000, 83.5760000,-4.2933333
4.76399999999998, 1.0000000, 83.7840000,-4.3066667
4.77599999999997, 1.0000000, 83.9920000,-4.3200000
4.78799999999997, 1.0000000, 84.2000000,-4.3333333
4.79999999999997, 1.0000000, 84.4080000,-4.3466667
4.81199999999997, 1.0000000, 84.6160000,-4.3600000
4.82399999999997, 1.0000000, 84.8240000,-4.3733333
4.83599999999997, 1.0000000, 85.0320000,-4.3866667
4.84799999999997, 1.0000000, 85.2400000,-4.4000000
4.85999999999997, 1.0000000, 85.4480000,-4.4133333
4.87199999999997, 1.0000000, 85.6560000,-4.4266667
4.88399999999997, 1.0000000, 85.8640000,-4.4400000
4.89599999999997, 1.0000000, 86.0720000,-4.4533333
4.90799999999997, 1.0000000, 86.2800000,-4.4666667
4.91999999999997, 1.0000000, 86.4880000,-4.4800000
4.93199999999997, 1.0000000, 86.6960000,-4.4933333
4.94399999999997, 1.0000000, 86.9040000,-4.5066667
4.95599999999997, 1.0000000, 87.1120000,-4.5200000
4.96799999999997, 1.0000000, 87.3200000,-4.5333333
4.97999999999997, 1.0000000, 87.5280000,-4.5466667
4.99199999999997, 1.0000000, 87.7360000,-4.5600000
5.00399999999997, 1.0000000, 87.9440000,-4.5733333
5.01599999999997, 1.0000000, 88.1520000,-4.5866667
5.02799999999997, 1.0000000, 88.3600000,-4.6000000
5.03999999999997, 1.0000000, 88.5680000,-4.6133333
5.05199999999996, 1.0000000, 88.7760000,-4.6266667
5.06399999999996, 1.0000000, 88.9840000,-4.6400000
5.07599999999996, 1.0000000, 89.1920000,-4.6533333
5.08799999999996, 1.0000000, 89.4000000,-4.6666667
5.09999999999996, 1.0000000, 89.6080000,-4.6800000
5.11199999999996, 1.0000000, 89.8160000,-4.6933333
5.12399999999996, 1.0000000, 90.0240000,-4.7066667
5.13599999999996, 1.0000000, 90.2320000,-4.7200000
5.14799999999996, 1.0000000, 90.4400000,-4.7333333
5.15999999999996, 1.0000000, 90.6480000,-4.7466667
5.17199999999996, 1.0000000, 90.8560000,-4.7600000
5.18399999999996, 1.0000000, 91.0640000,-4.7733333
5.19599999999996, 1.0000000, 91.2720000,-4.7866667
5.20799999999996, 1.0000000, 91.4800000,-4.8000000
5.21999999999996, 1.0000000, 91.6880000,-4.8133333
5.23199999999996, 1.0000000, 91.8960000,-4.8266667
5.24399999999996, 1.0000000, 92.1040000,-4.8400000
5.25599999999996, 1.0000000, 92.3120000,-4.8533333
5.26799999999996, 1.0000000, 92.5200000,-4.8666667
5.27999999999996, 1.0000000, 92.7280000,-4.8800000
5.29199999999996, 1.0000000, 92.9360000,-4.8933333
5.30399999999996, 1.0000000, 93.1440000,-4.9066667
5.31599999999996, 1.0000000, 93.3520000,-4.9200000
5.32799999999995, 1.0000000, 93.5600000,-4.9333333
5.33999999999995, 1.0000000, 93.7680000,-4.9466667
5.35199999999995, 1.0000000, 93.9760000,-4.9600000
5.36399999999995, 1.0000000, 94.1840000,-4.9733333
5.37599999999995, 1.0000000, 94.3920000,-4.9866667
5.38799999999995, 1.0000000, 94.6000000,-5.0000000
5.39999999999995, 1.0000000, 94.8080000,-5.0133333
5.41199999999995, 1.0000000, 95.0160000,-5.0266667
5.42399999999995, 1.0000000, 95.2240000,-5.0400000
5.43599999999995, 1.0000000, 95.4320000,-5.0533333
5.44799999999995, 1.0000000, 95.6400000,-5.0666667
5.45999999999995, 1.0000000, 95.8480000,-5.0800000
5.47199999999995, 1.0000000, 96.0560000,-5.0933333
5.48399999999995, 1.0000000, 96.2640000,-5.1066667
5.49599999999995, 1.0000000, 96.4720000,-5.1200000
5.50799999999995, 1.0000000, 96.6800000,-5.1333333
5.51999999999995, 1.0000000, 96.8880000,-5.1466667
5.53199999999995, 1.0000000, 97.0960000,-5.1600000
5.54399999999995, 1.0000000, 97.3040000,-5.1733333
5.55599999999995, 1.0000000, 97.5120000,-5.1866667
5.56799999999995, 1.0000000, 97.7200000,-5.2000000
5.57999999999995, 1.0000000, 97.9280000,-5.2133333
5.59199999999995, 1.0000000, 98.1360000,-5.2266667
5.60399999999995, 1.0000000, 98.3440000,-5.2400000
5.61599999999994, 1.0000000, 98.5520000,-5.2533333
5.62799999999994, 1.0000000, 98.7600000,-5.2666667
5.63999999999994, 1.0000000, 98.9680000,-5.2800000
5.65199999999994, 1.0000000, 99.1760000,-5.2933333
5.66399999999994, 1.0000000, 99.3840000,-5.3066667
5.67599999999994, 1.0000000, 99.5920000,-5.3200000
5.68799999999994, 1.0000000, 99.8000000,-5.3333333
5.69999999999994, 1.0000000, 100.0080000,-5.3466667
5.71199999999994, 1.0000000, 100.2160000,-5.3600000
5.72399999999994, 1.0000000, 100.4240000,-5.3733333
5.73599999999994, 1.0000000, 100.6320000,-5.3866667
5.74799999999994, 1.0000000, 100.8400000,-5.4000000
5.75999999999994, 1.0000000, 101.0480000,-5.4133333
5.77199999999994, 1.0000000, 101.2560000,-5.4266667
5.78399999999994, 1.0000000, 101.4640000,-5.4400000
5.79599999999994, 1.0000000, 101.6720000,-5.4533333
5.80799999999994, 1.0000000, 101.8800000,-5.4666667
5.81999999999994, 1.0000000, 102.0880000,-5.4800000
5.83199999999994, 1.0000000, 102.2960000,-5.4933333
5.84399999999994, 1.0000000, 102.5040000,-5.5066667
5.85599999999994, 1.0000000, 102.7120000,-5.5200000
5.86799999999994, 1.0000000, 102.9200000,-5.5333333
5.87999999999994, 1.0000000, 103.1280000,-5.5466667
5.89199999999993, 1.0000000, 103.3360000,-5.5600000
5.90399999999993, 1.0000000, 103.5440000,-5.5733333
5.91599999999993, 1.0000000, 103.7520000,-5.5866667
5.92799999999993, 1.0000000, 103.9600000,-5.6000000
5.93999999999993, 1.0000000, 104.1680000,-5.6133333
5.95199999999993, 1.0000000, 104.3760000,-5.6266667
5.96399999999993, 1.0000000, 104.5840000,-5.6400000
5.97599999999993, 1.0000000, 104.7920000,-5.6533333
5.98799999999993, 1.0000000, 105.0000000,-5.6666667
5.99999999999993, 1.0000000, 105.2080000,-5.6800000
6.01199999999993, 1.0000000, 105.4160000,-5.6933333
6.02399999999993, 1.0000000, 105.6240000,-5.7066667
6.03599999999993, 1.0000000, 105.8320000,-5.7200000
6.04799999999993, 1.0000000, 106.0400000,-5.7333333
6.05999999999993, 1.0000000, 106.2480000,-5.7466667
6.07199999999993, 1.0000000, 106.4560000,-5.7600000
6.08399999999993, 1.0000000, 106.6640000,-5.7733333
6.09599999999993, 1.0000000, 106.8720000,-5.7866667
6.10799999999993, 1.0000000, 107.0800000,-5.8000000
6.11999999999993, 1.0000000, 107.2880000,-5.8133333
6.13199999999993, 1.0000000, 107.4960000,-5.8266667
6.14399999999993, 1.0000000, 107.7040000,-5.8400000
6.15599999999993, 1.0000000, 107.9120000,-5.8533333
6.16799999999992, 1.0000000, 108.1200000,-5.8666667
6.17999999999992, 1.0000000, 108.3280000,-5.8800000
6.19199999999992, 1.0000000, 108.5360000,-5.8933333
6.20399999999992, 1.0000000, 108.7440000,-5.9066667
6.21599999999992, 1.0000000, 108.9520000,-5.9200000
6.22799999999992, 1.0000000, 109.1600000,-5.9333333
6.23999999999992, 1.0000000, 109.3680000,-5.9466667
6.25199999999992, 1.0000000, 109.5760000,-5.9600000
6.26399999999992, 1.0000000, 109.7840000,-5.9733333
6.27599999999992, 1.0000000, 109.9920000,-5.9866667
6.28799999999992, 1.0000000, 110.2000000,-6.0000000
6.29999999999992, 1.0000000, 110.4080000,-6.0133333
6.31199999999992, 1.0000000, 110.6160000,-6.0266667
6.32399999999992, 1.0000000, 110.8240000,-6.0400000
